state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,4944,4944,536,115
Illinois,17,0,0,1431,0
California,06,0,0,8450,0
Arizona,04,6402,6402,3466,106
Massachusetts,25,11691,11691,515,28
Wisconsin,55,4031,4031,331,63
Texas,48,0,0,10632,0
Nebraska,31,1453,1453,96,0
Utah,49,1984,1984,256,28
Oregon,41,1311,1311,219,21
Florida,12,20526,20526,8961,372
New York,36,89995,89995,765,0
Rhode Island,44,2088,2088,62,4
Georgia,13,14647,14647,2902,301
New Hampshire,33,670,670,24,2
North Carolina,37,0,0,1180,0
New Jersey,34,21003,21003,868,229
Colorado,08,5994,5994,394,28
Maryland,24,11728,11728,434,41
Nevada,32,0,0,1000,0
Tennessee,47,3562,3562,1436,65
Hawaii,15,138,138,39,1
Indiana,18,7814,7814,815,67
Kentucky,21,2864,2864,452,22
Minnesota,27,4563,4563,252,37
Oklahoma,40,2289,2289,604,71
Pennsylvania,42,0,0,680,0
South Carolina,45,4182,4182,1593,438
District of Columbia,11,0,0,87,0
Kansas,20,1453,1453,0,60
Missouri,29,0,0,875,0
Vermont,50,0,0,33,0
Virginia,51,7087,7087,1171,67
Connecticut,09,10654,10654,66,0
Iowa,19,0,0,210,0
Louisiana,22,0,0,1413,0
Ohio,39,9445,9445,1016,121
Michigan,26,0,0,680,0
South Dakota,46,763,763,61,6
Arkansas,05,2070,2070,464,76
Delaware,10,0,0,55,0
Mississippi,28,3712,3712,1076,37
New Mexico,35,2337,2337,166,25
North Dakota,38,290,290,36,5
Wyoming,56,140,140,19,9
Alaska,02,105,105,32,2
Maine,23,375,375,12,1
Alabama,01,7584,7584,1433,0
Idaho,16,554,554,153,28
Montana,30,159,159,45,9
West Virginia,54,0,0,69,0
