state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,17449,17449,823,95
Illinois,17,0,0,2802,0
California,06,0,0,17143,0
Arizona,04,51349,51349,4087,312
Massachusetts,25,18008,18008,1878,0
Wisconsin,55,24063,24063,710,87
Texas,48,0,0,12380,0
Nebraska,31,5756,5756,343,27
Utah,49,13279,13279,536,62
Oregon,41,7664,7664,328,72
Florida,12,72603,72603,6565,388
New York,36,89995,89995,8520,0
Rhode Island,44,8131,8131,335,33
Georgia,13,49608,49608,4953,361
New Hampshire,33,1021,1021,222,7
North Carolina,37,0,0,3238,0
New Jersey,34,60125,60125,3121,246
Colorado,08,21713,21713,702,103
Maryland,24,31614,31614,1636,146
Nevada,32,0,0,1322,0
Tennessee,47,16938,16938,2009,115
Hawaii,15,2064,2064,71,7
Indiana,18,40018,40018,1915,124
Kentucky,21,16404,16404,1561,303
Minnesota,27,24126,24126,477,53
Oklahoma,40,21478,21478,1250,164
Pennsylvania,42,0,0,3691,0
South Carolina,45,17739,17739,2086,159
District of Columbia,11,0,0,255,0
Kansas,20,8268,8268,649,0
Missouri,29,0,0,1908,0
Vermont,50,0,0,62,0
Virginia,51,21113,21113,2706,127
Connecticut,09,12257,12257,995,0
Iowa,19,0,0,391,0
Louisiana,22,0,0,1590,0
Ohio,39,45786,45786,2829,256
Michigan,26,0,0,1536,0
South Dakota,46,6264,6264,161,22
Arkansas,05,13505,13505,996,58
Delaware,10,0,0,333,0
Mississippi,28,8647,8647,1059,0
New Mexico,35,11906,11906,556,82
North Dakota,38,3766,3766,49,9
Wyoming,56,1272,1272,64,2
Alaska,02,1201,1201,42,1
Maine,23,1375,1375,171,9
Alabama,01,41483,41483,2052,0
Idaho,16,6604,6604,241,44
Montana,30,4203,4203,114,26
West Virginia,54,0,0,539,0
