state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,6834,6834,399,39
Illinois,17,0,0,1621,0
California,06,0,0,4401,0
Arizona,04,21498,21498,742,24
Massachusetts,25,12335,12335,333,10
Wisconsin,55,5998,5998,302,52
Texas,48,0,0,3889,0
Nebraska,31,2033,2033,162,6
Utah,49,3172,3172,144,19
Oregon,41,2175,2175,133,8
Florida,12,40127,40127,3360,243
New York,36,89995,89995,428,0
Rhode Island,44,2559,2559,76,19
Georgia,13,25402,25402,2295,143
New Hampshire,33,716,716,9,1
North Carolina,37,0,0,955,0
New Jersey,34,22770,22770,466,32
Colorado,08,7125,7125,219,21
Maryland,24,14473,14473,395,46
Nevada,32,0,0,611,0
Tennessee,47,7206,7206,1036,81
Hawaii,15,573,573,277,21
Indiana,18,11265,11265,865,69
Kentucky,21,4699,4699,574,15
Minnesota,27,6635,6635,274,43
Oklahoma,40,5061,5061,518,48
Pennsylvania,42,0,0,497,0
South Carolina,45,8073,8073,910,67
District of Columbia,11,0,0,75,0
Kansas,20,2415,2415,314,54
Missouri,29,0,0,934,0
Vermont,50,0,0,2,0
Virginia,51,9798,9798,1101,57
Connecticut,09,11275,11275,58,0
Iowa,19,0,0,317,0
Louisiana,22,0,0,808,0
Ohio,39,13731,13731,727,68
Michigan,26,0,0,616,0
South Dakota,46,1062,1062,89,10
Arkansas,05,4422,4422,401,36
Delaware,10,0,0,58,0
Mississippi,28,5326,5326,789,0
New Mexico,35,3171,3171,69,2
North Dakota,38,590,590,67,7
Wyoming,56,223,223,15,0
Alaska,02,252,252,43,0
Maine,23,423,423,9,-1
Alabama,01,14801,14801,880,0
Idaho,16,1442,1442,171,7
Montana,30,474,474,150,2
West Virginia,54,0,0,152,0
