state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,14571,14571,1088,126
Illinois,17,0,0,4093,0
California,06,0,0,21449,0
Arizona,04,37257,37257,4564,473
Massachusetts,25,16098,16098,2271,193
Wisconsin,55,21350,21350,1074,143
Texas,48,0,0,12268,0
Nebraska,31,5220,5220,544,33
Utah,49,10956,10956,565,83
Oregon,41,6455,6455,568,101
Florida,12,63741,63741,6363,366
New York,36,89995,89995,7935,0
Rhode Island,44,6506,6506,426,0
Georgia,13,42084,42084,4937,306
New Hampshire,33,902,902,317,1
North Carolina,37,0,0,3472,0
New Jersey,34,47326,47326,3716,236
Colorado,08,18598,18598,1086,96
Maryland,24,26636,26636,1773,189
Nevada,32,0,0,1927,0
Tennessee,47,14531,14531,3429,114
Hawaii,15,1768,1768,97,12
Indiana,18,34999,34999,2842,238
Kentucky,21,13488,13488,1673,0
Minnesota,27,21864,21864,895,116
Oklahoma,40,17059,17059,1924,246
Pennsylvania,42,0,0,5677,0
South Carolina,45,14390,14390,2025,154
District of Columbia,11,0,0,234,0
Kansas,20,6760,6760,767,0
Missouri,29,0,0,2777,0
Vermont,50,0,0,31,0
Virginia,51,18041,18041,2744,131
Connecticut,09,12257,12257,1136,0
Iowa,19,0,0,600,0
Louisiana,22,0,0,1731,0
Ohio,39,38334,38334,4367,332
Michigan,26,0,0,2758,0
South Dakota,46,5672,5672,297,33
Arkansas,05,11358,11358,1195,87
Delaware,10,0,0,411,0
Mississippi,28,8145,8145,1463,0
New Mexico,35,9689,9689,803,75
North Dakota,38,3552,3552,94,10
Wyoming,56,1102,1102,113,6
Alaska,02,1023,1023,79,6
Maine,23,1065,1065,177,26
Alabama,01,34184,34184,2815,353
Idaho,16,5567,5567,375,48
Montana,30,3568,3568,203,15
West Virginia,54,0,0,801,0
