state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,17543,17543,797,26
Illinois,17,0,0,2600,0
California,06,0,0,15941,0
Arizona,04,52006,52006,3828,435
Massachusetts,25,18008,18008,1739,0
Wisconsin,55,24243,24243,680,89
Texas,48,0,0,11473,0
Nebraska,31,5796,5796,325,21
Utah,49,13427,13427,522,74
Oregon,41,7738,7738,320,30
Florida,12,73220,73220,6153,276
New York,36,89995,89995,8176,0
Rhode Island,44,8179,8179,324,0
Georgia,13,50132,50132,4574,263
New Hampshire,33,1033,1033,217,4
North Carolina,37,0,0,2883,0
New Jersey,34,60471,60471,3075,145
Colorado,08,21812,21812,652,68
Maryland,24,31888,31888,1560,129
Nevada,32,0,0,1242,0
Tennessee,47,17092,17092,1806,154
Hawaii,15,2067,2067,73,3
Indiana,18,40266,40266,1648,116
Kentucky,21,16659,16659,1415,113
Minnesota,27,24269,24269,450,69
Oklahoma,40,21768,21768,1184,148
Pennsylvania,42,0,0,3551,0
South Carolina,45,17988,17988,1927,100
District of Columbia,11,0,0,247,0
Kansas,20,8417,8417,550,0
Missouri,29,0,0,1908,0
Vermont,50,0,0,62,0
Virginia,51,21377,21377,2632,136
Connecticut,09,12257,12257,985,0
Iowa,19,0,0,376,0
Louisiana,22,0,0,1546,0
Ohio,39,46135,46135,2506,183
Michigan,26,0,0,1479,0
South Dakota,46,6286,6286,145,14
Arkansas,05,13599,13599,911,47
Delaware,10,0,0,303,0
Mississippi,28,8647,8647,953,0
New Mexico,35,12047,12047,548,58
North Dakota,38,3778,3778,48,3
Wyoming,56,1279,1279,54,0
Alaska,02,1205,1205,39,3
Maine,23,1386,1386,161,5
Alabama,01,41859,41859,1879,376
Idaho,16,6659,6659,225,30
Montana,30,4246,4246,101,29
West Virginia,54,0,0,481,0
