state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,18861,18861,704,97
Illinois,17,0,0,1655,0
California,06,0,0,8566,0
Arizona,04,56090,56090,1823,107
Massachusetts,25,19176,19176,1029,0
Wisconsin,55,25556,25556,391,58
Texas,48,0,0,7874,0
Nebraska,31,5997,5997,188,16
Utah,49,14343,14343,291,49
Oregon,41,8346,8346,220,48
Florida,12,78295,78295,4367,301
New York,36,89995,89995,6434,0
Rhode Island,44,8846,8846,180,35
Georgia,13,54173,54173,3117,293
New Hampshire,33,1085,1085,126,2
North Carolina,37,0,0,1892,0
New Jersey,34,62835,62835,2327,117
Colorado,08,23047,23047,462,125
Maryland,24,34168,34168,1048,90
Nevada,32,0,0,698,0
Tennessee,47,18175,18175,1250,55
Hawaii,15,2179,2179,39,5
Indiana,18,42246,42246,966,160
Kentucky,21,18314,18314,935,25
Minnesota,27,25341,25341,287,54
Oklahoma,40,23464,23464,705,72
Pennsylvania,42,0,0,2124,0
South Carolina,45,19701,19701,1137,129
District of Columbia,11,0,0,211,0
Kansas,20,9002,9002,300,0
Missouri,29,0,0,1281,0
Vermont,50,0,0,42,0
Virginia,51,23268,23268,1828,89
Connecticut,09,12257,12257,568,0
Iowa,19,0,0,252,0
Louisiana,22,0,0,823,0
Ohio,39,49061,49061,1516,173
Michigan,26,0,0,877,0
South Dakota,46,6475,6475,92,9
Arkansas,05,14469,14469,625,77
Delaware,10,0,0,197,0
Mississippi,28,8978,8978,565,0
New Mexico,35,12848,12848,284,58
North Dakota,38,3845,3845,31,-5
Wyoming,56,1364,1364,31,1
Alaska,02,1243,1243,37,5
Maine,23,1495,1495,89,5
Alabama,01,44767,44767,1003,226
Idaho,16,6947,6947,164,14
Montana,30,4484,4484,109,7
West Virginia,54,0,0,301,0
