state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,3669,3669,350,17
Illinois,17,0,0,2496,0
California,06,0,0,4506,0
Arizona,04,3911,3911,1266,64
Massachusetts,25,10425,10425,1415,32
Wisconsin,55,2860,2860,322,12
Texas,48,0,0,1935,0
Nebraska,31,935,935,166,7
Utah,49,918,918,182,18
Oregon,41,819,819,121,0
Florida,12,11282,11282,0,67
New York,36,89995,89995,2371,0
Rhode Island,44,1807,1807,146,32
Georgia,13,8746,8746,819,61
New Hampshire,33,489,489,86,2
North Carolina,37,0,0,739,0
New Jersey,34,18050,18050,1740,0
Colorado,08,4859,4859,304,374
Maryland,24,9629,9629,979,83
Nevada,32,0,0,339,0
Tennessee,47,1948,1948,617,16
Hawaii,15,84,84,0,1
Indiana,18,6179,6179,902,43
Kentucky,21,2368,2368,486,7
Minnesota,27,3401,3401,452,34
Oklahoma,40,1039,1039,158,13
Pennsylvania,42,0,0,1174,0
South Carolina,45,1814,1814,507,0
District of Columbia,11,0,0,268,0
Kansas,20,936,936,0,19
Missouri,29,0,0,611,0
Vermont,50,0,0,13,0
Virginia,51,5143,5143,1173,37
Connecticut,09,9669,9669,324,0
Iowa,19,0,0,265,0
Louisiana,22,0,0,582,0
Ohio,39,6550,6550,644,53
Michigan,26,0,0,661,0
South Dakota,46,482,482,92,4
Arkansas,05,844,844,171,0
Delaware,10,0,0,113,0
Mississippi,28,2535,2535,598,13
New Mexico,35,1558,1558,183,25
North Dakota,38,184,184,29,1
Wyoming,56,91,91,7,1
Alaska,02,53,53,7,0
Maine,23,301,301,37,3
Alabama,01,2054,2054,593,32
Idaho,16,260,260,23,0
Montana,30,69,69,2,0
West Virginia,54,0,0,24,0
