state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,0,0,562,0
Illinois,17,0,0,4563,0
California,06,0,0,4545,0
Arizona,04,2543,2543,755,39
Massachusetts,25,8032,8032,3101,190
Wisconsin,55,1908,1908,343,31
Texas,48,0,0,1676,0
Nebraska,31,0,0,192,0
Utah,49,553,553,158,18
Oregon,41,673,673,165,0
Florida,12,7835,7835,0,181
New York,36,85008,85008,6946,519
Rhode Island,44,1328,1328,269,21
Georgia,13,6259,6259,1091,129
New Hampshire,33,319,319,121,1
North Carolina,37,0,0,521,0
New Jersey,34,0,0,4226,0
Colorado,08,3735,3735,685,40
Maryland,24,6404,6404,1550,117
Nevada,32,0,0,522,0
Tennessee,47,1388,1388,635,25
Hawaii,15,81,81,0,0
Indiana,18,4389,4389,1336,0
Kentucky,21,1825,1825,379,58
Minnesota,27,1851,1851,494,52
Oklahoma,40,848,848,218,20
Pennsylvania,42,0,0,2012,0
South Carolina,45,1338,1338,0,0
District of Columbia,11,0,0,423,0
Kansas,20,704,704,0,44
Missouri,29,0,0,771,0
Vermont,50,0,0,17,0
Virginia,51,3520,3520,1526,125
Connecticut,09,9389,9389,1158,0
Iowa,19,0,0,388,0
Louisiana,22,0,0,1194,0
Ohio,39,4618,4618,924,79
Michigan,26,0,0,1384,0
South Dakota,46,281,281,79,10
Arkansas,05,497,497,59,12
Delaware,10,0,0,282,0
Mississippi,28,1616,1616,604,34
New Mexico,35,886,886,200,0
North Dakota,38,127,127,37,5
Wyoming,56,67,67,10,0
Alaska,02,41,41,12,0
Maine,23,204,204,41,2
Alabama,01,1317,1317,524,30
Idaho,16,214,214,20,4
Montana,30,63,63,3,0
West Virginia,54,0,0,58,0
