state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,7762,7762,364,29
Illinois,17,0,0,1807,0
California,06,0,0,3084,0
Arizona,04,20229,20229,685,30
Massachusetts,25,12861,12861,531,15
Wisconsin,55,8319,8319,870,120
Texas,48,0,0,3628,0
Nebraska,31,2499,2499,299,18
Utah,49,4275,4275,246,55
Oregon,41,2741,2741,212,14
Florida,12,46201,46201,2077,0
New York,36,89995,89995,826,0
Rhode Island,44,2934,2934,119,32
Georgia,13,29611,29611,1646,101
New Hampshire,33,750,750,21,3
North Carolina,37,0,0,1034,0
New Jersey,34,23868,23868,641,47
Colorado,08,7879,7879,365,24
Maryland,24,16006,16006,383,50
Nevada,32,0,0,519,0
Tennessee,47,9180,9180,1156,47
Hawaii,15,911,911,106,11
Indiana,18,13756,13756,1180,108
Kentucky,21,6094,6094,652,61
Minnesota,27,8302,8302,471,51
Oklahoma,40,7218,7218,758,94
Pennsylvania,42,0,0,732,0
South Carolina,45,9561,9561,728,42
District of Columbia,11,0,0,99,0
Kansas,20,3185,3185,469,0
Missouri,29,0,0,1313,0
Vermont,50,0,0,0,0
Virginia,51,11501,11501,943,54
Connecticut,09,11845,11845,134,0
Iowa,19,0,0,450,0
Louisiana,22,0,0,582,0
Ohio,39,16355,16355,862,54
Michigan,26,0,0,862,0
South Dakota,46,1829,1829,267,47
Arkansas,05,5900,5900,554,95
Delaware,10,0,0,103,0
Mississippi,28,6053,6053,600,0
New Mexico,35,3704,3704,130,26
North Dakota,38,1062,1062,219,25
Wyoming,56,323,323,54,6
Alaska,02,341,341,66,2
Maine,23,462,462,7,2
Alabama,01,18179,18179,792,190
Idaho,16,2013,2013,192,16
Montana,30,885,885,280,17
West Virginia,54,0,0,173,0
