state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,3817,3817,372,45
Illinois,17,0,0,2117,0
California,06,0,0,4411,0
Arizona,04,4115,4115,1412,36
Massachusetts,25,10772,10772,1069,46
Wisconsin,55,3035,3035,285,32
Texas,48,0,0,2242,0
Nebraska,31,1067,1067,157,38
Utah,49,1012,1012,236,24
Oregon,41,875,875,133,11
Florida,12,12155,12155,0,169
New York,36,89995,89995,1734,0
Rhode Island,44,1853,1853,141,0
Georgia,13,9224,9224,810,43
New Hampshire,33,503,503,76,-1
North Carolina,37,0,0,823,0
New Jersey,34,18707,18707,1395,100
Colorado,08,5244,5244,262,10
Maryland,24,10053,10053,799,130
Nevada,32,0,0,351,0
Tennessee,47,2073,2073,583,24
Hawaii,15,87,87,0,1
Indiana,18,6349,6349,871,0
Kentucky,21,2433,2433,410,27
Minnesota,27,3581,3581,390,24
Oklahoma,40,1111,1111,154,8
Pennsylvania,42,0,0,875,0
South Carolina,45,1988,1988,523,0
District of Columbia,11,0,0,197,0
Kansas,20,973,973,0,0
Missouri,29,0,0,595,0
Vermont,50,0,0,11,0
Virginia,51,5511,5511,959,66
Connecticut,09,9912,9912,233,0
Iowa,19,0,0,200,0
Louisiana,22,0,0,542,0
Ohio,39,6864,6864,516,50
Michigan,26,0,0,636,0
South Dakota,46,531,531,85,6
Arkansas,05,979,979,203,18
Delaware,10,0,0,93,0
Mississippi,28,2644,2644,684,1
New Mexico,35,1625,1625,172,0
North Dakota,38,197,197,35,0
Wyoming,56,93,93,5,1
Alaska,02,56,56,12,1
Maine,23,313,313,29,5
Alabama,01,2241,2241,563,39
Idaho,16,265,265,24,0
Montana,30,77,77,7,0
West Virginia,54,0,0,29,0
