state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,10895,10895,1003,136
Illinois,17,0,0,5835,0
California,06,0,0,9049,0
Arizona,04,26072,26072,2594,286
Massachusetts,25,14139,14139,1191,0
Wisconsin,55,17372,17372,1827,277
Texas,48,0,0,9047,0
Nebraska,31,4316,4316,907,39
Utah,49,8279,8279,587,144
Oregon,41,4343,4343,584,0
Florida,12,55892,55892,4282,338
New York,36,89995,89995,3774,0
Rhode Island,44,4670,4670,410,88
Georgia,13,35063,35063,2634,239
New Hampshire,33,841,841,160,2
North Carolina,37,0,0,2033,0
New Jersey,34,41305,41305,3129,92
Colorado,08,14116,14116,1977,628
Maryland,24,21206,21206,1583,155
Nevada,32,0,0,1589,0
Tennessee,47,12209,12209,2632,113
Hawaii,15,1288,1288,56,1
Indiana,18,26424,26424,3460,406
Kentucky,21,10190,10190,1777,136
Minnesota,27,17111,17111,1840,320
Oklahoma,40,12293,12293,1718,35
Pennsylvania,42,0,0,4744,0
South Carolina,45,11910,11910,980,33
District of Columbia,11,0,0,160,0
Kansas,20,5105,5105,854,0
Missouri,29,0,0,2599,0
Vermont,50,0,0,32,0
Virginia,51,14725,14725,1757,106
Connecticut,09,12257,12257,1152,0
Iowa,19,0,0,1172,0
Louisiana,22,0,0,1280,0
Ohio,39,27449,27449,5226,585
Michigan,26,0,0,4310,0
South Dakota,46,4572,4572,547,70
Arkansas,05,9021,9021,1074,84
Delaware,10,0,0,246,0
Mississippi,28,7486,7486,1158,0
New Mexico,35,6898,6898,909,116
North Dakota,38,2751,2751,320,43
Wyoming,56,793,793,239,9
Alaska,02,749,749,155,24
Maine,23,709,709,139,10
Alabama,01,25610,25610,1785,272
Idaho,16,4049,4049,446,71
Montana,30,2680,2680,495,58
West Virginia,54,0,0,595,0
