state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,0,0,411,0
Illinois,17,0,0,4701,0
California,06,0,0,4734,0
Arizona,04,2089,2089,732,56
Massachusetts,25,6507,6507,3617,129
Wisconsin,55,1608,1608,348,17
Texas,48,0,0,1540,0
Nebraska,31,0,0,0,0
Utah,49,436,436,0,18
Oregon,41,595,595,209,4
Florida,12,6244,6244,0,299
New York,36,79768,79768,9786,826
Rhode Island,44,1013,1013,330,36
Georgia,13,5393,5393,1410,6
New Hampshire,33,277,277,103,7
North Carolina,37,0,0,475,0
New Jersey,34,0,0,5317,0
Colorado,08,2799,2799,883,6
Maryland,24,5051,5051,1635,141
Nevada,32,0,0,0,0
Tennessee,47,1135,1135,510,10
Hawaii,15,72,72,0,0
Indiana,18,0,0,1398,0
Kentucky,21,1411,1411,334,0
Minnesota,27,1199,1199,373,40
Oklahoma,40,743,743,236,0
Pennsylvania,42,0,0,2645,0
South Carolina,45,1110,1110,0,0
District of Columbia,11,0,0,0,0
Kansas,20,547,547,0,6
Missouri,29,0,0,896,0
Vermont,50,0,0,19,0
Virginia,51,2519,2519,1413,103
Connecticut,09,7758,7758,1551,0
Iowa,19,0,0,378,0
Louisiana,22,0,0,1530,0
Ohio,39,3769,3769,931,57
Michigan,26,0,0,2100,0
South Dakota,46,197,197,71,10
Arkansas,05,427,427,100,13
Delaware,10,0,0,284,0
Mississippi,28,1298,1298,667,33
New Mexico,35,587,587,164,0
North Dakota,38,90,90,31,0
Wyoming,56,60,60,13,2
Alaska,02,39,39,12,0
Maine,23,183,183,33,2
Alabama,01,1035,1035,427,12
Idaho,16,200,200,27,22
Montana,30,61,61,5,0
West Virginia,54,0,0,73,0
