state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,0,0,663,0
Illinois,17,0,0,4306,0
California,06,0,0,4424,0
Arizona,04,2673,2673,791,37
Massachusetts,25,8456,8456,2692,142
Wisconsin,55,2018,2018,361,41
Texas,48,0,0,1791,0
Nebraska,31,0,0,0,0
Utah,49,578,578,168,12
Oregon,41,691,691,161,6
Florida,12,8393,8393,0,400
New York,36,86207,86207,6220,425
Rhode Island,44,1403,1403,273,31
Georgia,13,6735,6735,1005,297
New Hampshire,33,335,335,110,0
North Carolina,37,0,0,481,0
New Jersey,34,0,0,3564,0
Colorado,08,3866,3866,650,24
Maryland,24,6755,6755,1500,76
Nevada,32,0,0,423,0
Tennessee,47,1474,1474,515,20
Hawaii,15,81,81,0,0
Indiana,18,4389,4389,1274,0
Kentucky,21,1896,1896,381,9
Minnesota,27,2039,2039,493,54
Oklahoma,40,878,878,180,15
Pennsylvania,42,0,0,1873,0
South Carolina,45,1421,1421,0,0
District of Columbia,11,0,0,382,0
Kansas,20,724,724,0,0
Missouri,29,0,0,775,0
Vermont,50,0,0,20,0
Virginia,51,3724,3724,1505,67
Connecticut,09,10946,10946,994,0
Iowa,19,0,0,387,0
Louisiana,22,0,0,1028,0
Ohio,39,4870,4870,866,79
Michigan,26,0,0,1256,0
South Dakota,46,304,304,75,8
Arkansas,05,520,520,65,0
Delaware,10,0,0,250,0
Mississippi,28,1748,1748,641,36
New Mexico,35,886,886,208,0
North Dakota,38,130,130,33,0
Wyoming,56,69,69,8,1
Alaska,02,45,45,10,2
Maine,23,214,214,37,3
Alabama,01,1387,1387,455,10
Idaho,16,213,213,19,1
Montana,30,63,63,3,0
West Virginia,54,0,0,55,0
