state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,7628,7628,367,17
Illinois,17,0,0,1631,0
California,06,0,0,3146,0
Arizona,04,22303,22303,567,9
Massachusetts,25,12755,12755,473,6
Wisconsin,55,7702,7702,782,56
Texas,48,0,0,3318,0
Nebraska,31,2397,2397,249,9
Utah,49,4019,4019,222,39
Oregon,41,2618,2618,176,0
Florida,12,45282,45282,2118,67
New York,36,89995,89995,636,0
Rhode Island,44,2835,2835,92,0
Georgia,13,28987,28987,1822,29
New Hampshire,33,743,743,22,0
North Carolina,37,0,0,971,0
New Jersey,34,23577,23577,507,17
Colorado,08,7693,7693,325,20
Maryland,24,15745,15745,338,40
Nevada,32,0,0,441,0
Tennessee,47,8923,8923,975,40
Hawaii,15,889,889,128,4
Indiana,18,13239,13239,1019,91
Kentucky,21,5557,5557,563,195
Minnesota,27,7940,7940,367,53
Oklahoma,40,6674,6674,655,104
Pennsylvania,42,0,0,594,0
South Carolina,45,9283,9283,593,24
District of Columbia,11,0,0,95,0
Kansas,20,3036,3036,352,53
Missouri,29,0,0,1201,0
Vermont,50,0,0,1,0
Virginia,51,11259,11259,925,38
Connecticut,09,11699,11699,129,0
Iowa,19,0,0,389,0
Louisiana,22,0,0,547,0
Ohio,39,15840,15840,657,73
Michigan,26,0,0,678,0
South Dakota,46,1642,1642,241,10
Arkansas,05,5586,5586,516,36
Delaware,10,0,0,81,0
Mississippi,28,6053,6053,554,78
New Mexico,35,3581,3581,97,20
North Dakota,38,939,939,112,14
Wyoming,56,294,294,36,12
Alaska,02,325,325,45,1
Maine,23,454,454,10,0
Alabama,01,17699,17699,791,279
Idaho,16,1903,1903,152,3
Montana,30,754,754,201,10
West Virginia,54,0,0,165,0
