state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,4778,4778,445,27
Illinois,17,0,0,1416,0
California,06,0,0,8145,0
Arizona,04,5942,5942,3517,103
Massachusetts,25,11625,11625,560,14
Wisconsin,55,3892,3892,293,42
Texas,48,0,0,10569,0
Nebraska,31,1431,1431,101,10
Utah,49,1888,1888,231,38
Oregon,41,1234,1234,246,54
Florida,12,19201,19201,8354,384
New York,36,89995,89995,820,0
Rhode Island,44,2070,2070,69,4
Georgia,13,13685,13685,2741,209
New Hampshire,33,589,589,24,0
North Carolina,37,0,0,1109,0
New Jersey,34,20632,20632,888,0
Colorado,08,5963,5963,368,22
Maryland,24,11485,11485,415,18
Nevada,32,0,0,983,0
Tennessee,47,3378,3378,1222,94
Hawaii,15,128,128,23,3
Indiana,18,7633,7633,767,59
Kentucky,21,2802,2802,449,11
Minnesota,27,4452,4452,236,28
Oklahoma,40,2116,2116,546,53
Pennsylvania,42,0,0,678,0
South Carolina,45,3744,3744,1550,346
District of Columbia,11,0,0,91,0
Kansas,20,1343,1343,0,0
Missouri,29,0,0,811,0
Vermont,50,0,0,15,0
Virginia,51,6817,6817,1127,52
Connecticut,09,10552,10552,66,0
Iowa,19,0,0,186,0
Louisiana,22,0,0,1362,0
Ohio,39,9049,9049,1017,134
Michigan,26,0,0,543,0
South Dakota,46,744,744,62,2
Arkansas,05,1872,1872,445,36
Delaware,10,0,0,48,0
Mississippi,28,3585,3585,1059,55
New Mexico,35,2261,2261,171,34
North Dakota,38,280,280,42,3
Wyoming,56,128,128,14,4
Alaska,02,98,98,25,2
Maine,23,373,373,17,1
Alabama,01,7123,7123,1362,378
Idaho,16,500,500,153,23
Montana,30,136,136,29,3
West Virginia,54,0,0,59,0
