state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,6182,6182,519,45
Illinois,17,0,0,1612,0
California,06,0,0,6364,0
Arizona,04,20515,20515,1359,12
Massachusetts,25,12150,12150,398,19
Wisconsin,55,5235,5235,336,65
Texas,48,0,0,6632,0
Nebraska,31,1880,1880,147,0
Utah,49,2744,2744,190,23
Oregon,41,1853,1853,232,8
Florida,12,33568,33568,5893,621
New York,36,89995,89995,554,0
Rhode Island,44,2350,2350,79,9
Georgia,13,21818,21818,2691,237
New Hampshire,33,705,705,15,0
North Carolina,37,0,0,1049,0
New Jersey,34,22161,22161,514,36
Colorado,08,6718,6718,236,18
Maryland,24,13508,13508,457,45
Nevada,32,0,0,948,0
Tennessee,47,5725,5725,1264,77
Hawaii,15,267,267,146,0
Indiana,18,9801,9801,910,123
Kentucky,21,4158,4158,656,42
Minnesota,27,5783,5783,313,41
Oklahoma,40,3953,3953,567,52
Pennsylvania,42,0,0,585,0
South Carolina,45,6852,6852,1296,370
District of Columbia,11,0,0,84,0
Kansas,20,2020,2020,311,45
Missouri,29,0,0,882,0
Vermont,50,0,0,13,0
Virginia,51,8650,8650,1299,58
Connecticut,09,11015,11015,56,0
Iowa,19,0,0,258,0
Louisiana,22,0,0,1243,0
Ohio,39,12128,12128,925,105
Michigan,26,0,0,713,0
South Dakota,46,903,903,65,7
Arkansas,05,3566,3566,466,0
Delaware,10,0,0,38,0
Mississippi,28,4873,4873,1107,26
New Mexico,35,2946,2946,125,18
North Dakota,38,455,455,65,10
Wyoming,56,191,191,13,2
Alaska,02,193,193,38,2
Maine,23,399,399,6,4
Alabama,01,12456,12456,1326,0
Idaho,16,1068,1068,216,17
Montana,30,319,319,86,4
West Virginia,54,0,0,135,0
