state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,4662,4662,447,-3
Illinois,17,0,0,1398,0
California,06,0,0,7904,0
Arizona,04,5750,5750,3485,91
Massachusetts,25,11600,11600,572,18
Wisconsin,55,3797,3797,264,31
Texas,48,0,0,10083,0
Nebraska,31,1419,1419,95,0
Utah,49,1797,1797,269,49
Oregon,41,1180,1180,208,18
Florida,12,18341,18341,7186,425
New York,36,89995,89995,799,0
Rhode Island,44,2051,2051,61,0
Georgia,13,13205,13205,2446,268
New Hampshire,33,585,585,20,4
North Carolina,37,0,0,1093,0
New Jersey,34,20632,20632,872,65
Colorado,08,5885,5885,324,21
Maryland,24,11353,11353,390,53
Nevada,32,0,0,918,0
Tennessee,47,3193,3193,1184,47
Hawaii,15,125,125,0,2
Indiana,18,7458,7458,714,0
Kentucky,21,2779,2779,370,16
Minnesota,27,4366,4366,241,37
Oklahoma,40,1992,1992,499,43
Pennsylvania,42,0,0,646,0
South Carolina,45,3398,3398,1396,0
District of Columbia,11,0,0,92,0
Kansas,20,1304,1304,0,0
Missouri,29,0,0,883,0
Vermont,50,0,0,18,0
Virginia,51,6707,6707,1020,32
Connecticut,09,10552,10552,77,0
Iowa,19,0,0,178,0
Louisiana,22,0,0,1182,0
Ohio,39,8770,8770,928,69
Michigan,26,0,0,505,0
South Dakota,46,738,738,65,12
Arkansas,05,1780,1780,402,37
Delaware,10,0,0,65,0
Mississippi,28,3495,3495,963,40
New Mexico,35,2187,2187,158,26
North Dakota,38,263,263,31,3
Wyoming,56,123,123,12,2
Alaska,02,93,93,31,3
Maine,23,368,368,16,2
Alabama,01,6745,6745,1093,3656
Idaho,16,449,449,122,17
Montana,30,127,127,24,4
West Virginia,54,0,0,56,0
