state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,0,0,622,0
Illinois,17,0,0,4454,0
California,06,0,0,4892,0
Arizona,04,1289,1289,566,31
Massachusetts,25,3756,3756,3756,30
Wisconsin,55,1153,1153,361,32
Texas,48,0,0,1522,0
Nebraska,31,0,0,0,0
Utah,49,244,244,0,6
Oregon,41,414,414,307,13
Florida,12,3665,3665,0,205
New York,36,61120,61120,17316,2068
Rhode Island,44,331,331,252,0
Georgia,13,3324,3324,0,216
New Hampshire,33,190,190,74,12
North Carolina,37,0,0,429,0
New Jersey,34,0,0,8011,0
Colorado,08,1755,1755,843,62
Maryland,24,2612,2612,0,161
Nevada,32,0,0,0,0
Tennessee,47,711,711,465,20
Hawaii,15,45,45,0,0
Indiana,18,0,0,0,0
Kentucky,21,971,971,477,164
Minnesota,27,518,518,223,43
Oklahoma,40,528,528,325,0
Pennsylvania,42,0,0,2603,0
South Carolina,45,675,675,0,0
District of Columbia,11,0,0,313,0
Kansas,20,375,375,0,16
Missouri,29,0,0,1043,0
Vermont,50,0,0,32,0
Virginia,51,1114,1114,1308,66
Connecticut,09,0,0,1946,0
Iowa,19,0,0,183,0
Louisiana,22,0,0,1868,0
Ohio,39,2424,2424,0,93
Michigan,26,0,0,3674,0
South Dakota,46,63,63,0,8
Arkansas,05,130,130,83,0
Delaware,10,0,0,224,0
Mississippi,28,736,736,0,54
New Mexico,35,242,242,96,12
North Dakota,38,47,47,16,2
Wyoming,56,43,43,19,0
Alaska,02,37,37,0,1
Maine,23,133,133,55,3
Alabama,01,594,594,364,41
Idaho,16,148,148,58,5
Montana,30,54,54,21,2
West Virginia,54,0,0,85,0
