state,fips,cases,deaths
Washington,53,90596,2199
Illinois,17,293169,8877
California,06,814796,15641
Arizona,04,217513,5624
Massachusetts,25,131072,9415
Wisconsin,55,124320,1293
Texas,48,773679,15898
Nebraska,31,44578,487
Utah,49,71442,453
Oregon,41,32995,549
Florida,12,701294,14036
New York,36,461176,32737
Rhode Island,44,24424,1110
Georgia,13,298963,6803
New Hampshire,33,8208,439
North Carolina,37,208497,3469
New Jersey,34,205898,16107
Colorado,08,69967,2052
Maryland,24,124371,3938
Nevada,32,79313,1586
Tennessee,47,190991,2362
Hawaii,15,12351,131
Indiana,18,120581,3591
Kentucky,21,71003,1195
Minnesota,27,97690,2067
Oklahoma,40,85194,1007
Pennsylvania,42,161642,8181
South Carolina,45,146455,3337
District of Columbia,11,15264,624
Kansas,20,59793,641
Missouri,29,127894,2132
Vermont,50,1745,58
Virginia,51,146593,3172
Connecticut,09,57147,4503
Iowa,19,87256,1324
Louisiana,22,166315,5480
Ohio,39,151802,4746
Michigan,26,135782,7052
South Dakota,46,21738,218
Arkansas,05,82049,1329
Delaware,10,20389,634
Mississippi,28,97049,2921
New Mexico,35,28985,873
North Dakota,38,20986,237
Wyoming,56,5754,50
Alaska,02,8477,52
Maine,23,5300,140
Alabama,01,152983,2501
Idaho,16,41386,460
Montana,30,12538,174
West Virginia,54,15512,337
