state,fips,cases,deaths
Washington,53,82957,2079
Illinois,17,262957,8546
California,06,760581,14333
Arizona,04,208128,5316
Massachusetts,25,124540,9196
Wisconsin,55,93102,1218
Texas,48,685921,14384
Nebraska,31,38108,449
Utah,49,57276,434
Oregon,41,29156,505
Florida,12,661563,12599
New York,36,448347,32625
Rhode Island,44,22905,1071
Georgia,13,276319,6144
New Hampshire,33,7652,435
North Carolina,37,184305,3073
New Jersey,34,198126,16027
Colorado,08,61311,1994
Maryland,24,115876,3836
Nevada,32,73291,1453
Tennessee,47,168552,2040
Hawaii,15,10696,96
Indiana,18,106777,3437
Kentucky,21,60187,1099
Minnesota,27,83640,1958
Oklahoma,40,68659,899
Pennsylvania,42,148635,7915
South Carolina,45,129978,3040
District of Columbia,11,14552,616
Kansas,20,49398,533
Missouri,29,103085,1802
Vermont,50,1677,58
Virginia,51,132940,2722
Connecticut,09,54326,4480
Iowa,19,74204,1218
Louisiana,22,157109,5202
Ohio,39,136568,4411
Michigan,26,123048,6912
South Dakota,46,16437,183
Arkansas,05,69710,969
Delaware,10,18726,613
Mississippi,28,89620,2685
New Mexico,35,26661,821
North Dakota,38,15154,170
Wyoming,56,4297,42
Alaska,02,7074,41
Maine,23,4834,135
Alabama,01,137646,2350
Idaho,16,35588,416
Montana,30,8946,134
West Virginia,54,12521,265
