state,fips,cases,deaths
Washington,53,16873,881
Illinois,17,68164,2977
California,06,60787,2478
Arizona,04,9707,426
Massachusetts,25,72025,4420
Wisconsin,55,9052,362
Texas,48,35441,985
Nebraska,31,6771,85
Utah,49,5605,59
Oregon,41,2916,115
Florida,12,37994,1538
New York,36,329405,25956
Rhode Island,44,10205,370
Georgia,13,29724,1309
New Hampshire,33,2741,111
North Carolina,37,12783,497
New Jersey,34,131890,8549
Colorado,08,17720,919
Maryland,24,28263,1443
Nevada,32,5744,286
Tennessee,47,13737,237
Hawaii,15,616,17
Indiana,18,22286,1377
Kentucky,21,5946,286
Minnesota,27,8579,485
Oklahoma,40,4201,253
Pennsylvania,42,54989,3360
South Carolina,45,6936,305
District of Columbia,11,5461,277
Kansas,20,5893,163
Missouri,29,9164,429
Vermont,50,908,52
Virginia,51,20256,713
Connecticut,09,30995,2718
Iowa,19,10404,219
Louisiana,22,30472,2167
Ohio,39,21576,1225
Michigan,26,45079,4250
South Dakota,46,2779,29
Arkansas,05,3611,87
Delaware,10,5778,193
Mississippi,28,8424,374
New Mexico,35,4290,169
North Dakota,38,1323,31
Wyoming,56,631,7
Alaska,02,370,8
Maine,23,1254,62
Alabama,01,8691,343
Idaho,16,2158,67
Montana,30,456,16
West Virginia,54,1277,51
