state,fips,cases,deaths
Washington,53,335338,4868
Illinois,17,1171687,22297
California,06,3513339,48334
Arizona,04,803158,15294
Massachusetts,25,563976,15686
Wisconsin,55,610056,6820
Texas,48,2582346,41764
Nebraska,31,198481,2151
Utah,49,364457,1813
Oregon,41,151713,2155
Florida,12,1849736,29473
New York,36,1568881,45957
Rhode Island,44,122859,2367
Georgia,13,952133,15906
New Hampshire,33,72399,1150
North Carolina,37,838097,10804
New Jersey,34,758450,22721
Colorado,08,420094,5966
Maryland,24,374148,7661
Nevada,32,289962,4807
Tennessee,47,748207,10964
Hawaii,15,26906,425
Indiana,18,655396,12281
Kentucky,21,396800,4539
Minnesota,27,476360,6472
Oklahoma,40,416476,4112
Pennsylvania,42,911033,23452
South Carolina,45,495044,8155
District of Columbia,11,39301,992
Kansas,20,291962,4526
Missouri,29,511506,8087
Vermont,50,14149,193
Virginia,51,557896,7090
Connecticut,09,271903,7496
Iowa,19,331502,5321
Louisiana,22,421846,9406
Ohio,39,947389,16611
Michigan,26,633932,16243
South Dakota,46,110871,1847
Arkansas,05,314445,5323
Delaware,10,83852,1326
Mississippi,28,289532,6531
New Mexico,35,181739,3582
North Dakota,38,99064,1465
Wyoming,56,53531,662
Alaska,02,56768,277
Maine,23,43090,655
Alabama,01,484365,9424
Idaho,16,168783,1828
Montana,30,98211,1338
West Virginia,54,128760,2236
