state,fips,cases,deaths
Washington,53,117091,2526
Illinois,17,445537,10239
California,06,954624,17818
Arizona,04,250853,6059
Massachusetts,25,163299,10062
Wisconsin,55,257365,2237
Texas,48,984919,18870
Nebraska,31,76145,676
Utah,49,121563,625
Oregon,41,47049,707
Florida,12,821115,16921
New York,36,520557,33222
Rhode Island,44,35122,1214
Georgia,13,382113,8303
New Hampshire,33,11563,484
North Carolina,37,283280,4535
New Jersey,34,247057,16391
Colorado,08,118356,2366
Maryland,24,149232,4172
Nevada,32,104514,1816
Tennessee,47,265407,3446
Hawaii,15,15591,218
Indiana,18,194261,4464
Kentucky,21,115426,1593
Minnesota,27,160977,2584
Oklahoma,40,127772,1392
Pennsylvania,42,222883,8967
South Carolina,45,180870,3985
District of Columbia,11,17601,647
Kansas,20,93967,1087
Missouri,29,201515,3166
Vermont,50,2267,58
Virginia,51,185836,3677
Connecticut,09,75373,4645
Iowa,19,137315,1801
Louisiana,22,190164,5975
Ohio,39,230209,5428
Michigan,26,212126,7783
South Dakota,46,49791,460
Arkansas,05,115812,2026
Delaware,10,25534,712
Mississippi,28,122275,3397
New Mexico,35,50251,1059
North Dakota,38,48306,573
Wyoming,56,15044,105
Alaska,02,17750,79
Maine,23,7077,150
Alabama,01,197777,3006
Idaho,16,68791,665
Montana,30,36012,404
West Virginia,54,25987,472
