state,fips,cases,deaths
Washington,53,21265,1076
Illinois,17,112248,4912
California,06,97017,3808
Arizona,04,16561,806
Massachusetts,25,93271,6416
Wisconsin,55,15857,514
Texas,48,56490,1536
Nebraska,31,12354,155
Utah,49,8521,98
Oregon,41,3949,148
Florida,12,51738,2251
New York,36,367625,29138
Rhode Island,44,14065,608
Georgia,13,41414,1820
New Hampshire,33,4197,210
North Carolina,37,23997,780
New Jersey,34,155092,11144
Colorado,08,24256,1333
Maryland,24,47754,2302
Nevada,32,7959,396
Tennessee,47,20533,334
Hawaii,15,633,17
Indiana,18,32489,1984
Kentucky,21,8899,403
Minnesota,27,21324,890
Oklahoma,40,6090,313
Pennsylvania,42,72356,5159
South Carolina,45,10178,440
District of Columbia,11,8225,440
Kansas,20,9272,201
Missouri,29,12296,694
Vermont,50,962,54
Virginia,51,37727,1208
Connecticut,09,40873,3742
Iowa,19,17628,460
Louisiana,22,37916,2690
Ohio,39,32477,1987
Michigan,26,54816,5240
South Dakota,46,4586,50
Arkansas,05,6029,117
Delaware,10,8965,332
Mississippi,28,13458,635
New Mexico,35,7026,320
North Dakota,38,2457,54
Wyoming,56,843,12
Alaska,02,412,8
Maine,23,2074,78
Alabama,01,14986,566
Idaho,16,2664,79
Montana,30,479,16
West Virginia,54,1782,73
