state,fips,cases,deaths
Washington,53,29045,1258
Illinois,17,136917,6801
California,06,170843,5425
Arizona,04,46914,1322
Massachusetts,25,106650,7799
Wisconsin,55,26913,736
Texas,48,107322,2168
Nebraska,31,17591,249
Utah,49,16585,155
Oregon,41,6592,188
Florida,12,89740,3103
New York,36,391330,30816
Rhode Island,44,16337,894
Georgia,13,59117,2596
New Hampshire,33,5486,337
North Carolina,37,50014,1223
New Jersey,34,168496,12835
Colorado,08,30172,1643
Maryland,24,64150,3030
Nevada,32,12525,479
Tennessee,47,33603,508
Hawaii,15,777,17
Indiana,18,42801,2516
Kentucky,21,13629,542
Minnesota,27,32063,1393
Oklahoma,40,9706,367
Pennsylvania,42,85288,6446
South Carolina,45,22631,639
District of Columbia,11,9952,530
Kansas,20,12168,254
Missouri,29,17780,973
Vermont,50,1144,56
Virginia,51,56793,1602
Connecticut,09,45557,4238
Iowa,19,25424,681
Louisiana,22,48627,3084
Ohio,39,43731,2667
Michigan,26,67300,6071
South Dakota,46,6158,81
Arkansas,05,14631,214
Delaware,10,10611,433
Mississippi,28,21022,943
New Mexico,35,10260,464
North Dakota,38,3232,82
Wyoming,56,1173,20
Alaska,02,821,10
Maine,23,2913,102
Alabama,01,29002,822
Idaho,16,3871,90
Montana,30,666,20
West Virginia,54,2468,88
