state,fips,cases,deaths
Washington,53,38517,1370
Illinois,17,149428,7250
California,06,277869,6452
Arizona,04,101542,1832
Massachusetts,25,110137,8198
Wisconsin,55,35318,805
Texas,48,209350,2726
Nebraska,31,20052,286
Utah,49,25653,190
Oregon,41,10413,218
Florida,12,206439,3777
New York,36,402338,31911
Rhode Island,44,16991,960
Georgia,13,91015,2829
New Hampshire,33,5914,382
North Carolina,37,74933,1424
New Jersey,34,175467,15229
Colorado,08,34316,1704
Maryland,24,70497,3246
Nevada,32,22930,537
Tennessee,47,51509,646
Hawaii,15,1012,19
Indiana,18,49560,2698
Kentucky,21,17464,621
Minnesota,27,38606,1511
Oklahoma,40,16362,399
Pennsylvania,42,95187,6798
South Carolina,45,46380,827
District of Columbia,11,10515,561
Kansas,20,17082,288
Missouri,29,24850,1068
Vermont,50,1251,56
Virginia,51,66102,1853
Connecticut,09,46976,4338
Iowa,19,31764,725
Louisiana,22,66435,3296
Ohio,39,57956,2927
Michigan,26,73403,6225
South Dakota,46,7105,97
Arkansas,05,24253,292
Delaware,10,12293,512
Mississippi,28,31257,1114
New Mexico,35,13507,515
North Dakota,38,3858,89
Wyoming,56,1675,20
Alaska,02,1401,14
Maine,23,3423,109
Alabama,01,44878,1007
Idaho,16,8222,94
Montana,30,1249,23
West Virginia,54,3442,95
