state,fips,cases,deaths
Washington,53,62389,1704
Illinois,17,188474,7776
California,06,532776,9866
Arizona,04,182230,3933
Massachusetts,25,119643,8659
Wisconsin,55,61247,979
Texas,48,482467,8152
Nebraska,31,27489,342
Utah,49,42478,330
Oregon,41,19979,342
Florida,12,502731,7626
New York,36,422935,32431
Rhode Island,44,19481,1012
Georgia,13,186395,3899
New Hampshire,33,6719,418
North Carolina,37,129454,2079
New Jersey,34,185180,15842
Colorado,08,49143,1857
Maryland,24,93000,3536
Nevada,32,52919,891
Tennessee,47,111305,1130
Hawaii,15,2740,26
Indiana,18,71685,3007
Kentucky,21,33823,771
Minnesota,27,57820,1670
Oklahoma,40,40555,583
Pennsylvania,42,120492,7310
South Carolina,45,95472,1894
District of Columbia,11,12443,587
Kansas,20,30047,371
Missouri,29,55951,1337
Vermont,50,1436,57
Virginia,51,95049,2274
Connecticut,09,50225,4437
Iowa,19,46836,900
Louisiana,22,126061,4096
Ohio,39,96305,3596
Michigan,26,94045,6480
South Dakota,46,9168,137
Arkansas,05,46293,508
Delaware,10,15296,587
Mississippi,28,63444,1804
New Mexico,35,21566,667
North Dakota,38,7061,112
Wyoming,56,2923,27
Alaska,02,4181,23
Maine,23,3992,124
Alabama,01,94654,1695
Idaho,16,22854,218
Montana,30,4481,65
West Virginia,54,7159,124
