state,fips,cases,deaths
Washington,53,85886,2130
Illinois,17,276057,8688
California,06,785076,15023
Arizona,04,213551,5471
Massachusetts,25,127181,9295
Wisconsin,55,105609,1249
Texas,48,716914,15124
Nebraska,31,40797,457
Utah,49,62893,440
Oregon,41,30600,527
Florida,12,681225,13286
New York,36,453747,32679
Rhode Island,44,23620,1088
Georgia,13,288059,6450
New Hampshire,33,7920,438
North Carolina,37,192751,3260
New Jersey,34,201100,16064
Colorado,08,64694,2022
Maryland,24,120107,3876
Nevada,32,75524,1528
Tennessee,47,179017,2193
Hawaii,15,11457,119
Indiana,18,112982,3503
Kentucky,21,65068,1137
Minnesota,27,88773,2015
Oklahoma,40,75804,943
Pennsylvania,42,154261,8028
South Carolina,45,137240,3188
District of Columbia,11,14902,619
Kansas,20,53420,596
Missouri,29,113794,1905
Vermont,50,1710,58
Virginia,51,139655,2990
Connecticut,09,55527,4492
Iowa,19,79785,1265
Louisiana,22,161322,5340
Ohio,39,143547,4612
Michigan,26,128112,6970
South Dakota,46,18444,200
Arkansas,05,75160,1181
Delaware,10,19449,621
Mississippi,28,93087,2809
New Mexico,35,27512,847
North Dakota,38,17610,195
Wyoming,56,4780,49
Alaska,02,7613,42
Maine,23,5035,139
Alabama,01,144164,2437
Idaho,16,37624,441
Montana,30,10193,156
West Virginia,54,13874,308
