state,fips,cases,deaths
Washington,53,273142,3768
Illinois,17,1020011,19110
California,06,2640129,29226
Arizona,04,602146,9970
Massachusetts,25,419721,12985
Wisconsin,55,544618,5530
Texas,48,1936086,30109
Nebraska,31,175655,1808
Utah,49,301110,1383
Oregon,41,122847,1590
Florida,12,1449244,22665
New York,36,1101702,38846
Rhode Island,44,97614,1916
Georgia,13,712785,10958
New Hampshire,33,50152,846
North Carolina,37,605187,7383
New Jersey,34,571771,19756
Colorado,08,357465,5207
Maryland,24,299781,6216
Nevada,32,244103,3409
Tennessee,47,627776,7549
Hawaii,15,22894,301
Indiana,18,555613,8892
Kentucky,21,299476,3194
Minnesota,27,432012,5688
Oklahoma,40,320586,2703
Pennsylvania,42,709235,17427
South Carolina,45,344176,5695
District of Columbia,11,31107,809
Kansas,20,245415,3148
Missouri,29,445310,6276
Vermont,50,8619,156
Virginia,51,387917,5312
Connecticut,09,205994,6324
Iowa,19,294762,4124
Louisiana,22,341431,7833
Ohio,39,762603,9544
Michigan,26,557674,13903
South Dakota,46,102580,1556
Arkansas,05,248860,3966
Delaware,10,63503,957
Mississippi,28,233665,5101
New Mexico,35,153456,2712
North Dakota,38,94446,1360
Wyoming,56,46647,489
Alaska,02,49366,214
Maine,23,28407,426
Alabama,01,394287,5191
Idaho,16,148578,1526
Montana,30,85668,1049
West Virginia,54,97898,1554
