state,fips,cases,deaths
Washington,53,350661,5167
Illinois,17,1208072,23122
California,06,3615049,55132
Arizona,04,830465,16464
Massachusetts,25,597073,16551
Wisconsin,55,623801,7162
Texas,48,2716807,46168
Nebraska,31,204417,2234
Utah,49,377031,2015
Oregon,41,158649,2323
Florida,12,1962643,32039
New York,36,1720456,48208
Rhode Island,44,130120,2563
Georgia,13,1004918,17570
New Hampshire,33,77764,1191
North Carolina,37,884684,11649
New Jersey,34,826631,23737
Colorado,08,442599,6108
Maryland,24,390672,8014
Nevada,32,297813,5080
Tennessee,47,773907,11520
Hawaii,15,27998,445
Indiana,18,673349,12802
Kentucky,21,417631,5052
Minnesota,27,494174,6792
Oklahoma,40,430944,4701
Pennsylvania,42,963552,24533
South Carolina,45,529392,8822
District of Columbia,11,42128,1038
Kansas,20,300302,4851
Missouri,29,572872,8743
Vermont,50,16500,211
Virginia,51,590625,9902
Connecticut,09,289392,7761
Iowa,19,341837,5622
Louisiana,22,435935,9828
Ohio,39,984934,17662
Michigan,26,665024,16712
South Dakota,46,114163,1905
Arkansas,05,326040,5410
Delaware,10,89680,1494
Mississippi,28,299124,6864
New Mexico,35,187720,3847
North Dakota,38,100757,1485
Wyoming,56,55112,691
Alaska,02,59689,291
Maine,23,46441,723
Alabama,01,502263,10274
Idaho,16,174729,1909
Montana,30,101561,1392
West Virginia,54,134496,2338
