state,fips,cases,deaths
Washington,53,380554,5380
Illinois,17,1285780,23809
California,06,3704162,60457
Arizona,04,850246,17086
Massachusetts,25,661101,17406
Wisconsin,55,646176,7384
Texas,48,2832866,49391
Nebraska,31,214618,2334
Utah,49,390350,2159
Oregon,41,170937,2455
Florida,12,2125838,34055
New York,36,1960567,50693
Rhode Island,44,141097,2638
Georgia,13,1050915,18920
New Hampshire,33,89229,1257
North Carolina,37,941190,12320
New Jersey,34,955966,24896
Colorado,08,482471,6209
Maryland,24,427901,8470
Nevada,32,308343,5332
Tennessee,47,810376,11914
Hawaii,15,31113,468
Indiana,18,703118,13151
Kentucky,21,436825,6355
Minnesota,27,544124,7037
Oklahoma,40,443773,6669
Pennsylvania,42,1080998,25460
South Carolina,45,563427,9276
District of Columbia,11,45903,1084
Kansas,20,306998,4930
Missouri,29,592383,9010
Vermont,50,21291,233
Virginia,51,636862,10486
Connecticut,09,324571,7957
Iowa,19,357197,5857
Louisiana,22,449827,10241
Ohio,39,1041389,18827
Michigan,26,830646,17566
South Dakota,46,119892,1947
Arkansas,05,332222,5665
Delaware,10,98925,1581
Mississippi,28,307519,7096
New Mexico,35,193987,3981
North Dakota,38,104839,1502
Wyoming,56,56988,701
Alaska,02,64655,300
Maine,23,54256,751
Alabama,01,519071,10712
Idaho,16,183840,2001
Montana,30,106360,1526
West Virginia,54,146462,2745
