state,fips,cases,deaths
Washington,53,94202,2253
Illinois,17,307428,9071
California,06,837720,16179
Arizona,04,221091,5707
Massachusetts,25,135462,9530
Wisconsin,55,141780,1393
Texas,48,806535,16519
Nebraska,31,48259,509
Utah,49,78733,483
Oregon,41,35056,574
Florida,12,717866,14711
New York,36,470244,32827
Rhode Island,44,25419,1121
Georgia,13,328127,7028
New Hampshire,33,8680,444
North Carolina,37,220045,3656
New Jersey,34,210500,16138
Colorado,08,74029,2085
Maryland,24,128277,3961
Nevada,32,82544,1624
Tennessee,47,200603,2570
Hawaii,15,13007,156
Indiana,18,128285,3681
Kentucky,21,76787,1248
Minnesota,27,104852,2136
Oklahoma,40,91982,1055
Pennsylvania,42,169126,8300
South Carolina,45,152159,3456
District of Columbia,11,15547,631
Kansas,20,63817,706
Missouri,29,137297,2229
Vermont,50,1817,58
Virginia,51,152557,3276
Connecticut,09,59120,4517
Iowa,19,93261,1399
Louisiana,22,169937,5586
Ohio,39,159964,4931
Michigan,26,142757,7141
South Dakota,46,24598,248
Arkansas,05,87430,1447
Delaware,10,21363,645
Mississippi,28,100703,3013
New Mexico,35,30632,894
North Dakota,38,23865,280
Wyoming,56,6629,53
Alaska,02,9511,54
Maine,23,5545,142
Alabama,01,159713,2559
Idaho,16,44832,487
Montana,30,15127,190
West Virginia,54,16742,361
