state,fips,cases,deaths
Washington,53,93527,2238
Illinois,17,305218,9050
California,06,834635,16150
Arizona,04,220757,5706
Massachusetts,25,134947,9510
Wisconsin,55,139941,1388
Texas,48,802440,16471
Nebraska,31,47807,504
Utah,49,77618,478
Oregon,41,34771,573
Florida,12,716451,14670
New York,36,469307,32813
Rhode Island,44,25076,1118
Georgia,13,306778,6999
New Hampshire,33,8645,443
North Carolina,37,217641,3653
New Jersey,34,209989,16136
Colorado,08,73389,2077
Maryland,24,127785,3958
Nevada,32,82134,1623
Tennessee,47,198262,2550
Hawaii,15,12957,155
Indiana,18,127501,3674
Kentucky,21,76086,1242
Minnesota,27,103879,2133
Oklahoma,40,91317,1052
Pennsylvania,42,168161,8287
South Carolina,45,151582,3453
District of Columbia,11,15519,631
Kansas,20,62479,698
Missouri,29,135691,2220
Vermont,50,1785,58
Virginia,51,151870,3273
Connecticut,09,58297,4513
Iowa,19,92744,1387
Louisiana,22,169719,5577
Ohio,39,158907,4925
Michigan,26,141287,7125
South Dakota,46,24418,248
Arkansas,05,87013,1425
Delaware,10,21243,645
Mississippi,28,100488,3013
New Mexico,35,30477,892
North Dakota,38,23553,277
Wyoming,56,6504,53
Alaska,02,9300,54
Maine,23,5519,142
Alabama,01,159169,2558
Idaho,16,43964,482
Montana,30,14738,187
West Virginia,54,16628,358
