state,fips,cases,deaths
Washington,53,46268,1492
Illinois,17,159676,7457
California,06,364761,7490
Arizona,04,134730,2506
Massachusetts,25,112581,8380
Wisconsin,55,43361,839
Texas,48,311516,3744
Nebraska,31,22178,307
Utah,49,31908,234
Oregon,41,13541,252
Florida,12,315767,4676
New York,36,409476,32133
Rhode Island,44,17711,988
Georgia,13,120848,3043
New Hampshire,33,6139,395
North Carolina,37,93657,1617
New Jersey,34,178475,15665
Colorado,08,38817,1746
Maryland,24,76237,3347
Nevada,32,32024,627
Tennessee,47,69827,786
Hawaii,15,1290,21
Indiana,18,55413,2795
Kentucky,21,21617,675
Minnesota,27,44387,1566
Oklahoma,40,23441,438
Pennsylvania,42,103169,7039
South Carolina,45,64083,1070
District of Columbia,11,11076,574
Kansas,20,21273,309
Missouri,29,32596,1145
Vermont,50,1325,56
Virginia,51,74431,2007
Connecticut,09,47750,4389
Iowa,19,37414,781
Louisiana,22,86521,3485
Ohio,39,70601,3103
Michigan,26,79977,6351
South Dakota,46,7694,115
Arkansas,05,31114,341
Delaware,10,13114,521
Mississippi,28,39797,1308
New Mexico,35,16138,562
North Dakota,38,4672,93
Wyoming,56,2026,24
Alaska,02,2034,15
Maine,23,3598,114
Alabama,01,61088,1230
Idaho,16,13261,114
Montana,30,2265,35
West Virginia,54,4657,99
