state,fips,cases,deaths
Washington,53,102403,2339
Illinois,17,348870,9491
California,06,878394,16979
Arizona,04,231149,5827
Massachusetts,25,143660,9737
Wisconsin,55,175652,1588
Texas,48,869376,17541
Nebraska,31,58068,557
Utah,49,94394,544
Oregon,41,39532,622
Florida,12,755012,15966
New York,36,489016,32972
Rhode Island,44,27691,1152
Georgia,13,348773,7460
New Hampshire,33,9694,467
North Carolina,37,246116,3961
New Jersey,34,221802,16211
Colorado,08,85803,2199
Maryland,24,136149,4037
Nevada,32,90374,1711
Tennessee,47,225126,2884
Hawaii,15,14183,186
Indiana,18,150005,3937
Kentucky,21,89538,1372
Minnesota,27,122865,2287
Oklahoma,40,107299,1171
Pennsylvania,42,186772,8555
South Carolina,45,163990,3650
District of Columbia,11,16370,641
Kansas,20,72722,859
Missouri,29,162156,2648
Vermont,50,1937,58
Virginia,51,166138,3433
Connecticut,09,62830,4542
Iowa,19,107334,1532
Louisiana,22,178869,5750
Ohio,39,181787,5067
Michigan,26,159337,7323
South Dakota,46,33269,323
Arkansas,05,99066,1704
Delaware,10,23093,665
Mississippi,28,110239,3171
New Mexico,35,36788,934
North Dakota,38,31983,409
Wyoming,56,9025,57
Alaska,02,11934,63
Maine,23,5939,146
Alabama,01,172626,2788
Idaho,16,53092,532
Montana,30,22821,241
West Virginia,54,20081,399
