state,fips,cases,deaths
Washington,53,5293,226
Illinois,17,5992,107
California,06,8583,184
Arizona,04,1298,24
Massachusetts,25,6620,89
Wisconsin,55,1351,25
Texas,48,3588,57
Nebraska,31,199,4
Utah,49,887,5
Oregon,41,690,18
Florida,12,6742,85
New York,36,76211,1929
Rhode Island,44,488,8
Georgia,13,4116,126
New Hampshire,33,367,3
North Carolina,37,1527,10
New Jersey,34,18696,267
Colorado,08,2990,69
Maryland,24,1662,18
Nevada,32,1113,26
Tennessee,47,2049,13
Hawaii,15,224,1
Indiana,18,2177,61
Kentucky,21,590,18
Minnesota,27,629,12
Oklahoma,40,566,23
Pennsylvania,42,4997,72
South Carolina,45,1083,22
District of Columbia,11,495,9
Kansas,20,435,10
Missouri,29,1350,15
Vermont,50,293,13
Virginia,51,1249,27
Connecticut,09,3128,69
Iowa,19,498,7
Louisiana,22,5237,240
Ohio,39,2199,55
Michigan,26,7629,264
South Dakota,46,107,1
Arkansas,05,564,8
Delaware,10,319,10
Mississippi,28,937,20
New Mexico,35,315,5
North Dakota,38,126,3
Wyoming,56,121,0
Alaska,02,133,2
Maine,23,303,5
Alabama,01,999,14
Idaho,16,526,9
Montana,30,198,5
West Virginia,54,162,1
