state,fips,cases,deaths
Washington,53,107270,2396
Illinois,17,380065,9788
California,06,909344,17358
Arizona,04,238200,5874
Massachusetts,25,150565,9864
Wisconsin,55,208917,1814
Texas,48,910592,18042
Nebraska,31,63849,608
Utah,49,105053,572
Oregon,41,42101,654
Florida,12,778628,16428
New York,36,500201,33059
Rhode Island,44,30118,1177
Georgia,13,360344,7626
New Hampshire,33,10328,473
North Carolina,37,260128,4183
New Jersey,34,230257,16285
Colorado,08,95742,2244
Maryland,24,140770,4096
Nevada,32,95798,1748
Tennessee,47,243508,3105
Hawaii,15,14823,211
Indiana,18,165038,4130
Kentucky,21,98730,1472
Minnesota,27,133855,2402
Oklahoma,40,116736,1249
Pennsylvania,42,198756,8730
South Carolina,45,170678,3802
District of Columbia,11,16767,642
Kansas,20,78241,975
Missouri,29,175243,2857
Vermont,50,2073,58
Virginia,51,173371,3579
Connecticut,09,66052,4577
Iowa,19,116238,1635
Louisiana,22,183575,5837
Ohio,39,198115,5206
Michigan,26,175515,7522
South Dakota,46,39203,375
Arkansas,05,106115,1812
Delaware,10,23961,681
Mississippi,28,115088,3255
New Mexico,35,41863,967
North Dakota,38,37724,461
Wyoming,56,11041,68
Alaska,02,13968,64
Maine,23,6201,146
Alabama,01,184355,2866
Idaho,16,59344,574
Montana,30,27880,298
West Virginia,54,21906,423
