state,fips,cases,deaths
Washington,53,106772,2396
Illinois,17,376034,9765
California,06,906644,17345
Arizona,04,236898,5870
Massachusetts,25,149488,9839
Wisconsin,55,205139,1804
Texas,48,906657,17998
Nebraska,31,63264,607
Utah,49,103137,568
Oregon,41,41739,654
Florida,12,776243,16416
New York,36,498568,33049
Rhode Island,44,30118,1177
Georgia,13,359001,7625
New Hampshire,33,10238,473
North Carolina,37,258439,4170
New Jersey,34,229128,16281
Colorado,08,93989,2241
Maryland,24,139859,4091
Nevada,32,94935,1746
Tennessee,47,240191,3067
Hawaii,15,14706,211
Indiana,18,162886,4118
Kentucky,21,97501,1469
Minnesota,27,132175,2381
Oklahoma,40,115685,1245
Pennsylvania,42,197370,8721
South Carolina,45,169341,3793
District of Columbia,11,16706,642
Kansas,20,78177,975
Missouri,29,173746,2854
Vermont,50,2043,58
Virginia,51,172372,3578
Connecticut,09,66052,4577
Iowa,19,114952,1634
Louisiana,22,182603,5820
Ohio,39,195806,5206
Michigan,26,175385,7522
South Dakota,46,38141,366
Arkansas,05,105318,1797
Delaware,10,23847,680
Mississippi,28,115088,3255
New Mexico,35,41040,965
North Dakota,38,36879,453
Wyoming,56,10805,68
Alaska,02,13439,64
Maine,23,6137,146
Alabama,01,183276,2866
Idaho,16,58964,573
Montana,30,27149,295
West Virginia,54,21712,422
