state,fips,cases,deaths
Washington,53,51442,1534
Illinois,17,167142,7544
California,06,422528,8038
Arizona,04,150659,2976
Massachusetts,25,114320,8468
Wisconsin,55,48777,874
Texas,48,366561,4522
Nebraska,31,23486,314
Utah,49,35677,262
Oregon,41,15436,274
Florida,12,379611,5344
New York,36,413595,32228
Rhode Island,44,18062,997
Georgia,13,139120,3264
New Hampshire,33,6295,402
North Carolina,37,105138,1729
New Jersey,34,179565,15707
Colorado,08,41747,1772
Maryland,24,80738,3405
Nevada,32,38759,705
Tennessee,47,82172,878
Hawaii,15,1413,24
Indiana,18,60126,2863
Kentucky,21,25169,700
Minnesota,27,48001,1592
Oklahoma,40,27301,474
Pennsylvania,42,108267,7125
South Carolina,45,75042,1285
District of Columbia,11,11529,580
Kansas,20,24376,324
Missouri,29,38454,1196
Vermont,50,1366,56
Virginia,51,80393,2051
Connecticut,09,48223,4406
Iowa,19,40208,814
Louisiana,22,99466,3670
Ohio,39,78742,3235
Michigan,26,83891,6391
South Dakota,46,8077,119
Arkansas,05,35246,380
Delaware,10,13792,527
Mississippi,28,47071,1423
New Mexico,35,17828,591
North Dakota,38,5371,100
Wyoming,56,2288,25
Alaska,02,2617,17
Maine,23,3723,118
Alabama,01,71813,1364
Idaho,16,16395,136
Montana,30,2840,42
West Virginia,54,5461,102
