state,fips,cases,deaths
Washington,53,23608,1139
Illinois,17,123244,5567
California,06,118081,4360
Arizona,04,21250,943
Massachusetts,25,101163,7085
Wisconsin,55,19223,610
Texas,48,67966,1732
Nebraska,31,14611,187
Utah,49,10237,113
Oregon,41,4338,157
Florida,12,57439,2529
New York,36,377881,29847
Rhode Island,44,15112,732
Georgia,13,46063,2070
New Hampshire,33,4749,256
North Carolina,37,30052,950
New Jersey,34,161545,11770
Colorado,08,26774,1474
Maryland,24,54831,2597
Nevada,32,8858,420
Tennessee,47,24498,378
Hawaii,15,643,17
Indiana,18,36129,2197
Kentucky,21,10287,451
Minnesota,27,25518,1082
Oklahoma,40,6692,339
Pennsylvania,42,77315,5670
South Carolina,45,12415,501
District of Columbia,11,8886,470
Kansas,20,10143,227
Missouri,29,13822,797
Vermont,50,988,55
Virginia,51,46239,1407
Connecticut,09,42979,3972
Iowa,19,20017,564
Louisiana,22,40857,2835
Ohio,39,36350,2258
Michigan,26,58680,5562
South Dakota,46,5066,62
Arkansas,05,7818,136
Delaware,10,9685,373
Mississippi,28,16020,767
New Mexico,35,8024,367
North Dakota,38,2649,68
Wyoming,56,912,17
Alaska,02,497,8
Maine,23,2377,94
Alabama,01,18771,653
Idaho,16,2935,83
Montana,30,523,17
West Virginia,54,2056,78
