state,fips,cases,deaths
Washington,53,251585,3523
Illinois,17,966287,17979
California,06,2345726,26236
Arizona,04,530267,9015
Massachusetts,25,375178,12423
Wisconsin,55,522523,5257
Texas,48,1779961,28434
Nebraska,31,168567,1707
Utah,49,276612,1273
Oregon,41,115377,1501
Florida,12,1323307,21672
New York,36,996073,37733
Rhode Island,44,87949,1777
Georgia,13,654950,10610
New Hampshire,33,44028,759
North Carolina,37,543976,6819
New Jersey,34,484882,19160
Colorado,08,338357,4936
Maryland,24,280387,5942
Nevada,32,227046,3146
Tennessee,47,572579,6846
Hawaii,15,21736,287
Indiana,18,520750,8371
Kentucky,21,269470,2956
Minnesota,27,415361,5382
Oklahoma,40,290936,2489
Pennsylvania,42,652952,16247
South Carolina,45,307507,5296
District of Columbia,11,29252,788
Kansas,20,230352,2879
Missouri,29,421217,5906
Vermont,50,7412,136
Virginia,51,354766,5081
Connecticut,09,185708,5995
Iowa,19,282980,3898
Louisiana,22,315275,7488
Ohio,39,700380,8962
Michigan,26,527376,13011
South Dakota,46,99164,1488
Arkansas,05,229442,3711
Delaware,10,58064,930
Mississippi,28,218386,4816
New Mexico,35,144142,2504
North Dakota,38,92777,1316
Wyoming,56,44409,438
Alaska,02,46740,198
Maine,23,24201,347
Alabama,01,365747,4872
Idaho,16,141388,1438
Montana,30,81701,962
West Virginia,54,87820,1361
