state,fips,cases,deaths
Washington,53,1228,75
Illinois,17,420,4
California,06,1067,19
Arizona,04,47,0
Massachusetts,25,328,0
Wisconsin,55,155,2
Texas,48,248,4
Nebraska,31,47,0
Utah,49,80,0
Oregon,41,87,3
Florida,12,434,8
New York,36,4161,39
Rhode Island,44,44,0
Georgia,13,282,10
New Hampshire,33,44,0
North Carolina,37,104,0
New Jersey,34,735,9
Colorado,08,278,5
Maryland,24,108,1
Nevada,32,99,1
Tennessee,47,155,0
Hawaii,15,26,0
Indiana,18,56,2
Kentucky,21,47,2
Minnesota,27,89,0
Oklahoma,40,44,1
Pennsylvania,42,187,1
South Carolina,45,81,1
District of Columbia,11,39,0
Kansas,20,35,1
Missouri,29,35,1
Vermont,50,22,2
Virginia,51,94,2
Connecticut,09,159,4
Iowa,19,44,0
Louisiana,22,392,10
Ohio,39,120,0
Michigan,26,334,3
South Dakota,46,14,1
Arkansas,05,62,0
Delaware,10,30,0
Mississippi,28,50,1
New Mexico,35,35,0
North Dakota,38,19,0
Wyoming,56,18,0
Alaska,02,12,0
Maine,23,52,0
Alabama,01,78,0
Idaho,16,23,0
Montana,30,19,0
West Virginia,54,5,0
