state,fips,cases,deaths
Washington,53,1655,95
Illinois,17,751,6
California,06,1544,28
Arizona,04,104,1
Massachusetts,25,525,2
Wisconsin,55,281,4
Texas,48,547,5
Nebraska,31,61,0
Utah,49,138,0
Oregon,41,137,4
Florida,12,764,11
New York,36,10371,95
Rhode Island,44,66,0
Georgia,13,552,20
New Hampshire,33,65,0
North Carolina,37,184,0
New Jersey,34,1336,16
Colorado,08,475,6
Maryland,24,195,3
Nevada,32,165,2
Tennessee,47,312,2
Hawaii,15,48,0
Indiana,18,128,6
Kentucky,21,84,3
Minnesota,27,138,1
Oklahoma,40,53,1
Pennsylvania,42,388,2
South Carolina,45,172,3
District of Columbia,11,77,1
Kansas,20,57,2
Missouri,29,93,3
Vermont,50,49,2
Virginia,51,152,3
Connecticut,09,223,5
Iowa,19,68,0
Louisiana,22,763,16
Ohio,39,247,3
Michigan,26,787,6
South Dakota,46,14,1
Arkansas,05,118,0
Delaware,10,45,0
Mississippi,28,140,1
New Mexico,35,57,0
North Dakota,38,28,0
Wyoming,56,24,0
Alaska,02,21,0
Maine,23,70,0
Alabama,01,131,0
Idaho,16,42,0
Montana,30,29,0
West Virginia,54,12,0
