state,fips,cases,deaths
Washington,53,359290,5249
Illinois,17,1228418,23391
California,06,3648056,57909
Arizona,04,837244,16798
Massachusetts,25,617695,16915
Wisconsin,55,630040,7241
Texas,48,2762748,47701
Nebraska,31,207401,2244
Utah,49,382229,2077
Oregon,41,162101,2380
Florida,12,2016505,32819
New York,36,1794735,48977
Rhode Island,44,134336,2606
Georgia,13,1023176,18021
New Hampshire,33,81132,1218
North Carolina,37,904616,11878
New Jersey,34,873840,24242
Colorado,08,453976,6150
Maryland,24,401612,8195
Nevada,32,301506,5188
Tennessee,47,788549,11643
Hawaii,15,28950,451
Indiana,18,682360,12959
Kentucky,21,425592,5864
Minnesota,27,507299,6857
Oklahoma,40,435634,4788
Pennsylvania,42,997245,24876
South Carolina,45,542912,9030
District of Columbia,11,43488,1051
Kansas,20,302665,4850
Missouri,29,579616,8881
Vermont,50,17933,220
Virginia,51,607234,10137
Connecticut,09,300565,7845
Iowa,19,346985,5683
Louisiana,22,441771,10037
Ohio,39,1002822,18382
Michigan,26,701346,16923
South Dakota,46,116100,1923
Arkansas,05,328946,5547
Delaware,10,92609,1535
Mississippi,28,303238,6977
New Mexico,35,190064,3905
North Dakota,38,101896,1494
Wyoming,56,55799,695
Alaska,02,61212,298
Maine,23,48773,731
Alabama,01,511789,10450
Idaho,16,178254,1954
Montana,30,103579,1419
West Virginia,54,138429,2613
