state,fips,cases,deaths
Washington,53,59648,1675
Illinois,17,182232,7707
California,06,509507,9365
Arizona,04,177019,3753
Massachusetts,25,118040,8626
Wisconsin,55,58064,955
Texas,48,448224,7477
Nebraska,31,26391,338
Utah,49,40754,312
Oregon,41,18817,329
Florida,12,480020,7021
New York,36,420477,32390
Rhode Island,44,19022,1007
Georgia,13,174834,3744
New Hampshire,33,6613,416
North Carolina,37,124015,1989
New Jersey,34,183904,15830
Colorado,08,47357,1846
Maryland,24,89925,3506
Nevada,32,49207,832
Tennessee,47,105455,1056
Hawaii,15,2174,25
Indiana,18,68773,2971
Kentucky,21,31612,758
Minnesota,27,55228,1646
Oklahoma,40,37706,549
Pennsylvania,42,117468,7270
South Carolina,45,90599,1751
District of Columbia,11,12205,585
Kansas,20,28147,358
Missouri,29,52012,1311
Vermont,50,1421,57
Virginia,51,90801,2215
Connecticut,09,49810,4432
Iowa,19,45293,874
Louisiana,22,116394,3949
Ohio,39,92087,3515
Michigan,26,91450,6460
South Dakota,46,8867,134
Arkansas,05,43173,458
Delaware,10,14877,585
Mississippi,28,59881,1693
New Mexico,35,20796,651
North Dakota,38,6606,107
Wyoming,56,2769,26
Alaska,02,3825,22
Maine,23,3937,123
Alabama,01,89349,1603
Idaho,16,21231,197
Montana,30,4081,61
West Virginia,54,6735,116
