state,fips,cases,deaths
Washington,53,333185,4777
Illinois,17,1167889,22199
California,06,3499216,47446
Arizona,04,799944,14981
Massachusetts,25,560576,15567
Wisconsin,55,608420,6792
Texas,48,2575430,41546
Nebraska,31,197904,2128
Utah,49,362406,1797
Oregon,41,150875,2138
Florida,12,1837277,29153
New York,36,1553374,45683
Rhode Island,44,122072,2344
Georgia,13,945339,15691
New Hampshire,33,71215,1136
North Carolina,37,831109,10611
New Jersey,34,751065,22497
Colorado,08,417688,5932
Maryland,24,372403,7612
Nevada,32,289094,4736
Tennessee,47,746183,10862
Hawaii,15,26819,423
Indiana,18,653713,12231
Kentucky,21,394829,4491
Minnesota,27,474689,6448
Oklahoma,40,414780,4061
Pennsylvania,42,904203,23166
South Carolina,45,490453,8055
District of Columbia,11,39131,982
Kansas,20,290556,4406
Missouri,29,509650,7888
Vermont,50,13917,191
Virginia,51,553308,7037
Connecticut,09,270822,7449
Iowa,19,330318,5263
Louisiana,22,420394,9325
Ohio,39,943291,16453
Michigan,26,631394,16138
South Dakota,46,110593,1844
Arkansas,05,313525,5287
Delaware,10,83369,1291
Mississippi,28,288714,6501
New Mexico,35,181061,3552
North Dakota,38,98811,1461
Wyoming,56,53351,662
Alaska,02,56504,276
Maine,23,42768,651
Alabama,01,482488,9257
Idaho,16,168097,1808
Montana,30,97759,1332
West Virginia,54,128117,2216
