state,fips,cases,deaths
Washington,53,17781,939
Illinois,17,77662,3426
California,06,68051,2769
Arizona,04,11119,536
Massachusetts,25,77793,4979
Wisconsin,55,10379,400
Texas,48,40037,1110
Nebraska,31,8328,97
Utah,49,6251,67
Oregon,41,3228,127
Florida,12,40588,1720
New York,36,340657,26798
Rhode Island,44,11274,422
Georgia,13,32267,1383
New Hampshire,33,3071,133
North Carolina,37,14783,561
New Jersey,34,138532,9255
Colorado,08,19595,969
Maryland,24,32693,1644
Nevada,32,6120,306
Tennessee,47,15060,242
Hawaii,15,621,17
Indiana,18,24633,1508
Kentucky,21,6486,312
Minnesota,27,11270,578
Oklahoma,40,4589,272
Pennsylvania,42,60037,3819
South Carolina,45,7653,331
District of Columbia,11,6272,323
Kansas,20,7045,172
Missouri,29,9906,502
Vermont,50,926,53
Virginia,51,24081,839
Connecticut,09,33554,2967
Iowa,19,11959,265
Louisiana,22,31673,2286
Ohio,39,24086,1341
Michigan,26,47116,4551
South Dakota,46,3517,34
Arkansas,05,4012,91
Delaware,10,6447,224
Mississippi,28,9501,430
New Mexico,35,4863,200
North Dakota,38,1491,35
Wyoming,56,662,7
Alaska,02,378,8
Maine,23,1436,64
Alabama,01,9889,393
Idaho,16,2232,67
Montana,30,458,16
West Virginia,54,1363,54
