state,fips,cases,deaths
Washington,53,25796,1181
Illinois,17,130321,6237
California,06,137245,4775
Arizona,04,28396,1074
Massachusetts,25,103889,7408
Wisconsin,55,21738,662
Texas,48,79271,1886
Nebraska,31,15888,199
Utah,49,12639,127
Oregon,41,5027,169
Florida,12,65992,2764
New York,36,384281,30309
Rhode Island,44,15691,808
Georgia,13,50769,2250
New Hampshire,33,5132,294
North Carolina,37,37393,1069
New Jersey,34,164796,12303
Colorado,08,28333,1553
Maryland,24,59543,2811
Nevada,32,10046,445
Tennessee,47,27865,430
Hawaii,15,670,17
Indiana,18,38985,2339
Kentucky,21,11891,494
Minnesota,27,28534,1228
Oklahoma,40,7364,353
Pennsylvania,42,80964,6070
South Carolina,45,15228,568
District of Columbia,11,9474,495
Kansas,20,10786,238
Missouri,29,15396,854
Vermont,50,1084,55
Virginia,51,51738,1496
Connecticut,09,44179,4097
Iowa,19,22271,629
Louisiana,22,43725,2957
Ohio,39,39162,2421
Michigan,26,65190,5946
South Dakota,46,5523,68
Arkansas,05,10080,161
Delaware,10,10020,410
Mississippi,28,18109,847
New Mexico,35,9105,404
North Dakota,38,2904,75
Wyoming,56,970,17
Alaska,02,620,9
Maine,23,2606,100
Alabama,01,21422,729
Idaho,16,3226,85
Montana,30,554,18
West Virginia,54,2179,84
