state,fips,cases,deaths
Washington,53,13197,731
Illinois,17,39658,1804
California,06,41368,1619
Arizona,04,6045,268
Massachusetts,25,50969,2556
Wisconsin,55,5431,262
Texas,48,23650,625
Nebraska,31,2474,50
Utah,49,3782,39
Oregon,41,2177,86
Florida,12,30525,1045
New York,36,276218,20759
Rhode Island,44,6699,202
Georgia,13,21575,889
New Hampshire,33,1720,53
North Carolina,37,8052,270
New Jersey,34,102196,5617
Colorado,08,12255,672
Maryland,24,16693,798
Nevada,32,4398,203
Tennessee,47,8618,172
Hawaii,15,595,13
Indiana,18,13848,851
Kentucky,21,3779,203
Minnesota,27,3185,221
Oklahoma,40,3120,188
Pennsylvania,42,40298,1786
South Carolina,45,5070,157
District of Columbia,11,3528,153
Kansas,20,2842,117
Missouri,29,6625,267
Vermont,50,827,43
Virginia,51,11595,413
Connecticut,09,23921,1764
Iowa,19,4459,107
Louisiana,22,26199,1660
Ohio,39,15169,690
Michigan,26,36628,3084
South Dakota,46,2040,10
Arkansas,05,2810,47
Delaware,10,3442,100
Mississippi,28,5434,209
New Mexico,35,2524,84
North Dakota,38,748,15
Wyoming,56,473,7
Alaska,02,337,7
Maine,23,965,47
Alabama,01,6026,209
Idaho,16,1870,54
Montana,30,444,14
West Virginia,54,1010,32
