state,fips,cases,deaths
Washington,53,11180,588
Illinois,17,25734,1081
California,06,28142,971
Arizona,04,4234,152
Massachusetts,25,32181,1245
Wisconsin,55,3875,197
Texas,48,16928,428
Nebraska,31,1094,24
Utah,49,2687,21
Oregon,41,1736,64
Florida,12,23332,667
New York,36,225761,15669
Rhode Island,44,3838,105
Georgia,13,15644,611
New Hampshire,33,1211,34
North Carolina,37,5463,140
New Jersey,34,75317,3518
Colorado,08,8675,374
Maryland,24,10851,459
Nevada,32,3321,142
Tennessee,47,6077,142
Hawaii,15,535,9
Indiana,18,9619,554
Kentucky,21,2429,131
Minnesota,27,1912,94
Oklahoma,40,2357,131
Pennsylvania,42,28314,940
South Carolina,45,3931,109
District of Columbia,11,2350,81
Kansas,20,1595,80
Missouri,29,5111,170
Vermont,50,768,34
Virginia,51,6891,208
Connecticut,09,15884,971
Iowa,19,2141,60
Louisiana,22,22532,1156
Ohio,39,8414,389
Michigan,26,29120,2092
South Dakota,46,1311,7
Arkansas,05,1620,37
Delaware,10,2075,52
Mississippi,28,3624,129
New Mexico,35,1597,44
North Dakota,38,393,9
Wyoming,56,393,2
Alaska,02,298,7
Maine,23,796,27
Alabama,01,4404,137
Idaho,16,1609,41
Montana,30,415,7
West Virginia,54,739,13
