state,fips,cases,deaths
Washington,53,261328,3558
Illinois,17,987459,18414
California,06,2474561,26995
Arizona,04,561542,9064
Massachusetts,25,392582,12669
Wisconsin,55,527871,5273
Texas,48,1833180,28681
Nebraska,31,170778,1727
Utah,49,285633,1307
Oregon,41,118473,1517
Florida,12,1376684,22089
New York,36,1035396,38167
Rhode Island,44,92708,1855
Georgia,13,672849,10623
New Hampshire,33,47328,781
North Carolina,37,572018,7000
New Jersey,34,545155,19244
Colorado,08,345239,5011
Maryland,24,287970,6027
Nevada,32,233324,3209
Tennessee,47,597201,7101
Hawaii,15,22092,287
Indiana,18,532671,8514
Kentucky,21,282097,3067
Minnesota,27,423747,5502
Oklahoma,40,306771,2552
Pennsylvania,42,670769,16394
South Carolina,45,325472,5484
District of Columbia,11,29904,797
Kansas,20,234390,2897
Missouri,29,429745,5941
Vermont,50,7873,144
Virginia,51,367536,5132
Connecticut,09,194636,6168
Iowa,19,286356,3992
Louisiana,22,322181,7585
Ohio,39,727423,9143
Michigan,26,541721,13381
South Dakota,46,100643,1513
Arkansas,05,234781,3800
Delaware,10,60333,937
Mississippi,28,223677,4884
New Mexico,35,147315,2576
North Dakota,38,93247,1319
Wyoming,56,45247,438
Alaska,02,48110,209
Maine,23,25968,360
Alabama,01,374095,4878
Idaho,16,143833,1462
Montana,30,82753,975
West Virginia,54,91886,1396
