state,fips,cases,deaths
Washington,53,84222,2107
Illinois,17,267380,8589
California,06,769917,14606
Arizona,04,209215,5346
Massachusetts,25,125393,9225
Wisconsin,55,97002,1230
Texas,48,701509,14661
Nebraska,31,38970,451
Utah,49,59017,436
Oregon,41,29664,519
Florida,12,668838,12786
New York,36,450425,32655
Rhode Island,44,23250,1078
Georgia,13,280356,6255
New Hampshire,33,7748,438
North Carolina,37,187486,3135
New Jersey,34,199193,16043
Colorado,08,62575,2006
Maryland,24,117745,3849
Nevada,32,74129,1484
Tennessee,47,172692,2102
Hawaii,15,10951,99
Indiana,18,109445,3460
Kentucky,21,61986,1112
Minnesota,27,85403,1979
Oklahoma,40,71314,912
Pennsylvania,42,151081,7945
South Carolina,45,133470,3098
District of Columbia,11,14687,616
Kansas,20,51006,555
Missouri,29,107687,1830
Vermont,50,1702,58
Virginia,51,135514,2839
Connecticut,09,55031,4485
Iowa,19,75722,1234
Louisiana,22,159253,5278
Ohio,39,139485,4506
Michigan,26,124978,6933
South Dakota,46,16994,184
Arkansas,05,71497,1150
Delaware,10,19137,618
Mississippi,28,90523,2734
New Mexico,35,26923,830
North Dakota,38,16067,175
Wyoming,56,4438,46
Alaska,02,7256,41
Maine,23,4918,137
Alabama,01,140160,2387
Idaho,16,36306,425
Montana,30,9281,141
West Virginia,54,12976,280
