state,fips,cases,deaths
Washington,53,41326,1426
Illinois,17,154530,7372
California,06,320030,7012
Arizona,04,119991,2158
Massachusetts,25,111398,8310
Wisconsin,55,39095,829
Texas,48,258280,3206
Nebraska,31,21035,296
Utah,49,29071,212
Oregon,41,11851,235
Florida,12,254503,4196
New York,36,405724,32019
Rhode Island,44,17312,976
Georgia,13,106574,2946
New Hampshire,33,6024,391
North Carolina,37,83996,1520
New Jersey,34,176906,15525
Colorado,08,36633,1725
Maryland,24,73060,3310
Nevada,32,26912,592
Tennessee,47,59981,728
Hawaii,15,1181,19
Indiana,18,52358,2756
Kentucky,21,19530,647
Minnesota,27,41609,1537
Oklahoma,40,19779,421
Pennsylvania,42,99252,6945
South Carolina,45,54699,951
District of Columbia,11,10801,568
Kansas,20,18983,294
Missouri,29,28649,1112
Vermont,50,1283,56
Virginia,51,69782,1962
Connecticut,09,47287,4348
Iowa,19,34695,748
Louisiana,22,76911,3403
Ohio,39,64214,3036
Michigan,26,76499,6316
South Dakota,46,7454,109
Arkansas,05,27864,319
Delaware,10,12743,517
Mississippi,28,35419,1230
New Mexico,35,14773,543
North Dakota,38,4247,91
Wyoming,56,1839,21
Alaska,02,1656,15
Maine,23,3520,112
Alabama,01,51947,1114
Idaho,16,10584,102
Montana,30,1677,29
West Virginia,54,4146,96
