state,fips,cases,deaths
Washington,53,35258,1340
Illinois,17,145541,7160
California,06,239764,6168
Arizona,04,84152,1726
Massachusetts,25,109143,8081
Wisconsin,55,32307,794
Texas,48,174826,2518
Nebraska,31,19325,282
Utah,49,22864,173
Oregon,41,9019,211
Florida,12,158989,3549
New York,36,398770,31791
Rhode Island,44,16853,956
Georgia,13,79589,2779
New Hampshire,33,5802,373
North Carolina,37,66815,1389
New Jersey,34,173782,15078
Colorado,08,33012,1697
Maryland,24,68502,3205
Nevada,32,19151,512
Tennessee,47,44360,602
Hawaii,15,909,18
Indiana,18,47116,2650
Kentucky,21,16114,597
Minnesota,27,36753,1482
Oklahoma,40,14112,389
Pennsylvania,42,91864,6704
South Carolina,45,37919,766
District of Columbia,11,10365,553
Kansas,20,15142,280
Missouri,29,22595,1049
Vermont,50,1210,56
Virginia,51,63203,1786
Connecticut,09,46572,4324
Iowa,19,29618,717
Louisiana,22,60286,3238
Ohio,39,52865,2876
Michigan,26,71279,6202
South Dakota,46,6826,93
Arkansas,05,21197,277
Delaware,10,11510,509
Mississippi,28,27900,1082
New Mexico,35,12276,500
North Dakota,38,3624,89
Wyoming,56,1514,20
Alaska,02,1174,12
Maine,23,3294,105
Alabama,01,38962,972
Idaho,16,6379,92
Montana,30,1016,22
West Virginia,54,2979,93
