state,fips,cases,deaths
Washington,53,63056,1715
Illinois,17,190465,7796
California,06,541013,10014
Arizona,04,183744,4005
Massachusetts,25,119874,8691
Wisconsin,55,62139,988
Texas,48,490102,8400
Nebraska,31,27821,347
Utah,49,43032,332
Oregon,41,20250,343
Florida,12,510381,7746
New York,36,423629,32329
Rhode Island,44,19611,1014
Georgia,13,189300,3942
New Hampshire,33,6742,419
North Carolina,37,131478,2122
New Jersey,34,185554,15849
Colorado,08,49633,1857
Maryland,24,93598,3551
Nevada,32,53705,901
Tennessee,47,113519,1170
Hawaii,15,2891,28
Indiana,18,72741,3013
Kentucky,21,34435,780
Minnesota,27,58681,1677
Oklahoma,40,41395,593
Pennsylvania,42,121294,7340
South Carolina,45,96797,1943
District of Columbia,11,12518,587
Kansas,20,30153,376
Missouri,29,57175,1349
Vermont,50,1445,58
Virginia,51,95867,2299
Connecticut,09,50245,4437
Iowa,19,47559,912
Louisiana,22,127364,4146
Ohio,39,97471,3618
Michigan,26,94819,6508
South Dakota,46,9273,141
Arkansas,05,47028,515
Delaware,10,15365,587
Mississippi,28,64400,1825
New Mexico,35,21773,669
North Dakota,38,7181,113
Wyoming,56,2958,27
Alaska,02,4221,23
Maine,23,3997,124
Alabama,01,96592,1714
Idaho,16,23510,227
Montana,30,4621,66
West Virginia,54,7277,124
