state,fips,cases,deaths
Washington,53,69894,1861
Illinois,17,208068,7973
California,06,628508,11245
Arizona,04,193554,4509
Massachusetts,25,123593,8838
Wisconsin,55,70246,1048
Texas,48,563464,10498
Nebraska,31,30372,363
Utah,49,46652,364
Oregon,41,23262,388
Florida,12,573408,9451
New York,36,430226,32424
Rhode Island,44,20335,1021
Georgia,13,220165,4600
New Hampshire,33,6988,423
North Carolina,37,145111,2372
New Jersey,34,189294,15912
Colorado,08,53188,1897
Maryland,24,100772,3639
Nevada,32,61374,1074
Tennessee,47,130620,1349
Hawaii,15,5019,39
Indiana,18,82304,3133
Kentucky,21,40883,832
Minnesota,27,65198,1752
Oklahoma,40,48342,661
Pennsylvania,42,129075,7532
South Carolina,45,106497,2269
District of Columbia,11,13220,597
Kansas,20,34495,406
Missouri,29,68493,1436
Vermont,50,1515,58
Virginia,51,106687,2381
Connecticut,09,50897,4453
Iowa,19,52447,975
Louisiana,22,138041,4507
Ohio,39,108287,3826
Michigan,26,102323,6592
South Dakota,46,10274,153
Arkansas,05,52665,599
Delaware,10,16451,593
Mississippi,28,72136,2084
New Mexico,35,23408,714
North Dakota,38,8591,129
Wyoming,56,3286,30
Alaska,02,5058,26
Maine,23,4168,127
Alabama,01,108433,1898
Idaho,16,27794,269
Montana,30,5751,82
West Virginia,54,8564,160
