state,fips,cases,deaths
Washington,53,290896,3971
Illinois,17,1067230,20021
California,06,2975319,33393
Arizona,04,670234,11248
Massachusetts,25,465726,13583
Wisconsin,55,566275,5906
Texas,48,2114858,32581
Nebraska,31,181895,1904
Utah,49,322252,1486
Oregon,41,132412,1800
Florida,12,1560178,24003
New York,36,1229124,40376
Rhode Island,44,104443,2005
Georgia,13,785048,11900
New Hampshire,33,55945,927
North Carolina,37,669284,8060
New Jersey,34,622085,20414
Colorado,08,375463,5440
Maryland,24,324203,6541
Nevada,32,260222,3764
Tennessee,47,668142,8276
Hawaii,15,24188,317
Indiana,18,590093,9287
Kentucky,21,327538,3420
Minnesota,27,445115,5955
Oklahoma,40,351665,2952
Pennsylvania,42,767074,19188
South Carolina,45,382422,6108
District of Columbia,11,33537,847
Kansas,20,259226,3502
Missouri,29,466829,6644
Vermont,50,9915,163
Virginia,51,429391,5706
Connecticut,09,223422,6594
Iowa,19,304748,4321
Louisiana,22,364853,8080
Ohio,39,821507,10135
Michigan,26,580296,14658
South Dakota,46,105278,1633
Arkansas,05,270178,4293
Delaware,10,69372,1016
Mississippi,28,250869,5481
New Mexico,35,162893,2912
North Dakota,38,95736,1403
Wyoming,56,49068,522
Alaska,02,51347,220
Maine,23,33219,507
Alabama,01,420681,6119
Idaho,16,155357,1607
Montana,30,89056,1088
West Virginia,54,108124,1761
