state,fips,cases,deaths
Washington,53,306489,4221
Illinois,17,1107388,20744
California,06,3212839,37499
Arizona,04,728231,12239
Massachusetts,25,503688,14178
Wisconsin,55,582477,6203
Texas,48,2270391,35236
Nebraska,31,188850,1984
Utah,49,337269,1599
Oregon,41,138587,1892
Florida,12,1658161,25445
New York,36,1347924,42090
Rhode Island,44,111754,2110
Georgia,13,847036,12890
New Hampshire,33,62768,990
North Carolina,37,725176,8777
New Jersey,34,666951,20972
Colorado,08,389227,5602
Maryland,24,343353,6900
Nevada,32,272006,4032
Tennessee,47,695935,8887
Hawaii,15,25209,339
Indiana,18,616310,9728
Kentucky,21,351462,3730
Minnesota,27,455851,6166
Oklahoma,40,374853,3293
Pennsylvania,42,813665,20664
South Carolina,45,421417,6552
District of Columbia,11,35505,879
Kansas,20,272220,3622
Missouri,29,483906,6968
Vermont,50,11165,171
Virginia,51,478619,6081
Connecticut,09,243632,6911
Iowa,19,313907,4488
Louisiana,22,385942,8590
Ohio,39,868656,10768
Michigan,26,598449,15208
South Dakota,46,107180,1705
Arkansas,05,284702,4650
Delaware,10,75191,1049
Mississippi,28,265146,5777
New Mexico,35,169696,3159
North Dakota,38,96899,1436
Wyoming,56,51062,571
Alaska,02,53061,250
Maine,23,37046,547
Alabama,01,443009,6662
Idaho,16,160182,1687
Montana,30,91905,1152
West Virginia,54,115839,1899
