state,fips,cases,deaths
Washington,53,293296,3971
Illinois,17,1071307,20052
California,06,3006866,33593
Arizona,04,673882,11266
Massachusetts,25,470140,13652
Wisconsin,55,568166,5907
Texas,48,2127334,32747
Nebraska,31,182914,1905
Utah,49,323837,1493
Oregon,41,133205,1801
Florida,12,1571271,24136
New York,36,1242818,40570
Rhode Island,44,104443,2005
Georgia,13,791322,11906
New Hampshire,33,56864,933
North Carolina,37,675272,8125
New Jersey,34,627221,20439
Colorado,08,376921,5454
Maryland,24,326648,6567
Nevada,32,261847,3784
Tennessee,47,672292,8312
Hawaii,15,24309,319
Indiana,18,593262,9310
Kentucky,21,329816,3428
Minnesota,27,446448,5995
Oklahoma,40,354979,2987
Pennsylvania,42,772747,19310
South Carolina,45,388184,6237
District of Columbia,11,33851,850
Kansas,20,259226,3502
Missouri,29,468106,6647
Vermont,50,10057,163
Virginia,51,439305,5729
Connecticut,09,223422,6594
Iowa,19,305151,4323
Louisiana,22,368980,8203
Ohio,39,826754,10200
Michigan,26,580394,14658
South Dakota,46,105544,1656
Arkansas,05,271154,4311
Delaware,10,70294,1016
Mississippi,28,252475,5521
New Mexico,35,163637,2934
North Dakota,38,95886,1406
Wyoming,56,49363,522
Alaska,02,51630,220
Maine,23,33559,511
Alabama,01,422598,6120
Idaho,16,155617,1609
Montana,30,89393,1092
West Virginia,54,108821,1776
