state,fips,cases,deaths
Washington,53,336819,4886
Illinois,17,1175781,22426
California,06,3527293,49111
Arizona,04,807163,15480
Massachusetts,25,567764,15779
Wisconsin,55,611789,6875
Texas,48,2593823,42202
Nebraska,31,199162,2169
Utah,49,366091,1842
Oregon,41,152711,2159
Florida,12,1863699,29812
New York,36,1585692,46233
Rhode Island,44,123145,2376
Georgia,13,958998,16233
New Hampshire,33,73161,1153
North Carolina,37,844520,10930
New Jersey,34,764374,22834
Colorado,08,422240,5984
Maryland,24,375919,7697
Nevada,32,290742,4870
Tennessee,47,750628,11022
Hawaii,15,27011,427
Indiana,18,657848,12336
Kentucky,21,400011,4585
Minnesota,27,478225,6491
Oklahoma,40,418318,4155
Pennsylvania,42,916378,23615
South Carolina,45,501277,8256
District of Columbia,11,39553,994
Kansas,20,294010,4614
Missouri,29,512753,8151
Vermont,50,14359,196
Virginia,51,561812,7197
Connecticut,09,273101,7523
Iowa,19,332225,5336
Louisiana,22,422287,9440
Ohio,39,952306,16749
Michigan,26,636167,16332
South Dakota,46,111165,1859
Arkansas,05,315230,5348
Delaware,10,84531,1366
Mississippi,28,290242,6553
New Mexico,35,182475,3612
North Dakota,38,99258,1467
Wyoming,56,53683,662
Alaska,02,56979,278
Maine,23,43367,658
Alabama,01,485986,9590
Idaho,16,169229,1829
Montana,30,98681,1342
West Virginia,54,129364,2254
