state,fips,cases,deaths
Washington,53,129672,2619
Illinois,17,537860,10855
California,06,1009187,18141
Arizona,04,266644,6240
Massachusetts,25,180189,10242
Wisconsin,55,309605,2626
Texas,48,1060798,19705
Nebraska,31,92737,772
Utah,49,143639,689
Oregon,41,53879,748
Florida,12,863611,17371
New York,36,550516,33424
Rhode Island,44,40764,1250
Georgia,13,401750,8655
New Hampshire,33,13470,495
North Carolina,37,303931,4730
New Jersey,34,268787,16495
Colorado,08,149262,2512
Maryland,24,160311,4261
Nevada,32,115360,1880
Tennessee,47,291482,3751
Hawaii,15,16403,221
Indiana,18,233540,4813
Kentucky,21,132686,1702
Minnesota,27,201851,2849
Oklahoma,40,144691,1481
Pennsylvania,42,254167,9272
South Carolina,45,190490,4084
District of Columbia,11,18507,657
Kansas,20,111503,1215
Missouri,29,235341,3441
Vermont,50,2651,59
Virginia,51,198027,3758
Connecticut,09,85899,4726
Iowa,19,173401,1947
Louisiana,22,198531,6097
Ohio,39,274457,5658
Michigan,26,258973,8187
South Dakota,46,60716,567
Arkansas,05,128006,2144
Delaware,10,27546,732
Mississippi,28,130665,3514
New Mexico,35,60776,1176
North Dakota,38,59179,703
Wyoming,56,20479,127
Alaska,02,21689,90
Maine,23,8395,159
Alabama,01,210637,3213
Idaho,16,78877,753
Montana,30,43084,478
West Virginia,54,30897,555
