state,fips,cases,deaths
Washington,53,348485,5129
Illinois,17,1203008,23020
California,06,3603893,54377
Arizona,04,827237,16328
Massachusetts,25,592344,16435
Wisconsin,55,621842,7111
Texas,48,2699863,45570
Nebraska,31,203546,2224
Utah,49,375165,1977
Oregon,41,157611,2306
Florida,12,1948299,31763
New York,36,1700348,47921
Rhode Island,44,128981,2549
Georgia,13,999460,17389
New Hampshire,33,77060,1184
North Carolina,37,879279,11556
New Jersey,34,814916,23590
Colorado,08,439609,6079
Maryland,24,388217,7963
Nevada,32,296457,5040
Tennessee,47,770202,11459
Hawaii,15,27862,442
Indiana,18,670975,12744
Kentucky,21,414550,4970
Minnesota,27,490551,6624
Oklahoma,40,429162,4534
Pennsylvania,42,955337,24401
South Carolina,45,526716,8760
District of Columbia,11,41579,1035
Kansas,20,299503,4816
Missouri,29,570729,8610
Vermont,50,16199,208
Virginia,51,586592,9683
Connecticut,09,287396,7725
Iowa,19,340128,5560
Louisiana,22,434289,9758
Ohio,39,979726,17502
Michigan,26,658294,16652
South Dakota,46,113596,1901
Arkansas,05,324951,5343
Delaware,10,88563,1475
Mississippi,28,297651,6808
New Mexico,35,187040,3813
North Dakota,38,100449,1479
Wyoming,56,54903,682
Alaska,02,59210,291
Maine,23,45926,706
Alabama,01,500092,10148
Idaho,16,173523,1893
Montana,30,101093,1382
West Virginia,54,133627,2325
