state,fips,cases,deaths
Washington,53,11850,629
Illinois,17,29160,1272
California,06,30829,1146
Arizona,04,4719,181
Massachusetts,25,36372,1560
Wisconsin,55,4199,212
Texas,48,18927,487
Nebraska,31,1348,28
Utah,49,2942,25
Oregon,41,1844,72
Florida,12,25484,747
New York,36,240542,17141
Rhode Island,44,4491,137
Georgia,13,17014,670
New Hampshire,33,1342,38
North Carolina,37,6140,175
New Jersey,34,81420,4070
Colorado,08,9433,409
Maryland,24,12379,534
Nevada,32,3626,155
Tennessee,47,6624,148
Hawaii,15,568,9
Indiana,18,10730,633
Kentucky,21,2707,145
Minnesota,27,2213,121
Oklahoma,40,2570,139
Pennsylvania,42,31742,1150
South Carolina,45,4246,119
District of Columbia,11,2666,91
Kansas,20,1820,86
Missouri,29,5517,194
Vermont,50,803,36
Virginia,51,8053,258
Connecticut,09,17550,1086
Iowa,19,2513,74
Louisiana,22,23580,1267
Ohio,39,10222,451
Michigan,26,30718,2307
South Dakota,46,1541,7
Arkansas,05,1777,38
Delaware,10,2538,67
Mississippi,28,3974,152
New Mexico,35,1798,53
North Dakota,38,528,9
Wyoming,56,412,2
Alaska,02,312,7
Maine,23,847,32
Alabama,01,4723,147
Idaho,16,1668,44
Montana,30,426,10
West Virginia,54,825,18
