state,fips,cases,deaths
Washington,53,81048,2045
Illinois,17,255229,8431
California,06,746113,13843
Arizona,04,206048,5221
Massachusetts,25,122962,9141
Wisconsin,55,87730,1179
Texas,48,670427,13855
Nebraska,31,36477,418
Utah,49,55424,426
Oregon,41,28355,492
Florida,12,650084,11914
New York,36,445308,32612
Rhode Island,44,22592,1059
Georgia,13,268684,5931
New Hampshire,33,7494,433
North Carolina,37,179150,2942
New Jersey,34,196450,15996
Colorado,08,60003,1980
Maryland,24,113734,3807
Nevada,32,72165,1395
Tennessee,47,163180,1873
Hawaii,15,10130,87
Indiana,18,102917,3380
Kentucky,21,56877,1039
Minnesota,27,81660,1914
Oklahoma,40,65053,854
Pennsylvania,42,145191,7862
South Carolina,45,125908,2912
District of Columbia,11,14362,611
Kansas,20,47878,486
Missouri,29,97044,1746
Vermont,50,1654,58
Virginia,51,128407,2686
Connecticut,09,53782,4474
Iowa,19,71018,1185
Louisiana,22,154329,5118
Ohio,39,131992,4298
Michigan,26,118984,6814
South Dakota,46,15403,173
Arkansas,05,66757,917
Delaware,10,18308,609
Mississippi,28,87379,2585
New Mexico,35,26181,807
North Dakota,38,13876,160
Wyoming,56,4103,42
Alaska,02,6670,39
Maine,23,4713,134
Alabama,01,133606,2277
Idaho,16,34461,390
Montana,30,8409,119
West Virginia,54,11661,250
